"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Kỹ thuật thăm dò chức năng thông khí phổi được chỉ định để đánh giá nguy cơ hô hấp trước phẫu thuật ở vùng nào?","Phẫu thuật đầu-cổ","Phẫu thuật chi trên","Phẫu thuật lồng ngực, bụng","Phẫu thuật chi dưới","c"
"Tình trạng nào sau đây không phải là chống chỉ định của thăm dò chức năng thông khí phổi?","Phẫu thuật lồng ngực, ổ bụng, mắt gần đây","Ho ra máu","Tràn khí màng phổi","Nghi ngờ bệnh phổi tắc nghẽn mạn tính","d"
"Thăm dò chức năng thông khí phổi bao gồm các đánh giá sau, NGOẠI TRỪ:","Hoạt động thông khí của phổi","Các thể tích phổi","Tỷ số thông khí/tưới máu","Lưu lượng khí","c"
"Thăm dò chức năng thông khí phổi bao gồm các đánh giá sau, NGOẠI TRỪ:","Hoạt động thông khí của phổi","Khả năng khuếch tán của khí qua màng phế nang – mao mạch","Các thể tích phổi","Lưu lượng khí","b"
"Trên X-quang ngực thẳng, đường Kerley B có đặc điểm nào sau đây?","Là những đường mờ mảnh, thẳng, dài 2-6cm","Là những đường mờ mảnh, thẳng, dài <2cm","Là những đường mờ cong, dài <2cm","Là những đường mờ cong, dài 2-6cm","b"
"Trên X-quang ngực thẳng, đường Kerley A có đặc điểm nào sau đây?","Là những đường mờ mảnh, thẳng, dài 2-6cm","Là những đường mờ mảnh, thẳng, dài <2cm","Là những đường mờ cong, dài <2cm","Là những đường mờ cong, dài 2-6cm","a"
"Tiêu chuẩn về chỉ số FVC trong rối loạn thông khí kiểu hạn chế trên hô hấp ký là gì?","FVC <70% giá trị dự đoán","FVC <80% giá trị dự đoán","FVC <90% giá trị dự đoán","FVC >80% giá trị dự đoán","b"
"Tổn thương nào sau đây không phải là tổn thương dạng sáng trên X-quang ngực?","Bọt khí","Bóng khí","Liềm hơi","Xẹp phổi","d"
"Tổn thương nào sau đây không phải là tổn thương dạng sáng trên X-quang ngực?","Kén phế quản","Bóng khí","Nốt","Liềm hơi","c"
"Đặc điểm nào là đúng về hình ảnh tràn khí màng phổi trên X-quang ngực?","Vùng mờ tăng sinh mạch","Thấy được lá thành màng phổi","Nhu mô xẹp lại","Có thể kéo lệch trung thất về phía tổn thương","c"
"Đặc điểm nào không đúng về hình ảnh tràn khí màng phổi trên X-quang ngực?","Vùng sáng vô mạch","Thấy được lá tạng màng phổi","Nhu mô xẹp lại","Có thể kéo lệch trung thất về phía tổn thương","d"
"Đặc điểm nào không đúng về “Hội chứng phế nang” trên X-quang ngực?","Là hình ảnh bóng mờ phế nang có bờ không rõ","Có xu hướng hợp lưu","Có hình ảnh khí phế quản đồ","Bờ rõ, đều","d"
"Đặc điểm nào là đúng về “Hội chứng phế nang” trên X-quang ngực?","Là hình ảnh bóng mờ mô kẽ có bờ không rõ","Không có xu hướng hợp lưu","Có hình ảnh khí phế quản đồ","Tiến triển chậm","c"
"Đặc điểm nào không đúng về “Hội chứng mô kẽ” trên X-quang ngực?","Là hình ảnh bóng mờ mô kẽ có bờ không rõ","Không có xu hướng hợp lưu","Không có hình ảnh khí phế quản đồ","Bờ rõ, đều","d"
"Hình ảnh nào sau đây là một biểu hiện của “Hội chứng mô kẽ” trên X-quang ngực?","Hình ảnh bóng mờ tam giác đỉnh ở rốn phổi","Hình ảnh khí phế quản đồ","Hình ảnh lưới","Hình ảnh bóng mờ có xu hướng hợp lưu","c"
"Hình ảnh dày thành phế quản trên X-quang ngực có thể hình thành trong các trường hợp sau đây, NGOẠI TRỪ:","Phù","Viêm","Thâm nhiễm","Đông đặc","d"
"Các dấu hiệu hình ảnh sau đây đều biểu hiện hình ảnh dày thành phế quản, NGOẠI TRỪ:","Hình “đường ray”","Hình “nhẫn”","Hình “ngón tay đeo găng”","Hình “nòng súng”","c"
"Trong phân tích kết quả thăm dò chức năng thông khí phổi, nếu đường cong lưu lượng-thể tích có đoạn thở ra lõm, giảm độ dốc và lưu lượng thấp thì gợi ý nguyên nhân gì?","Hạn chế, có thể kèm tắc nghẽn","Tắc nghẽn, có thể kèm hạn chế","Cả hạn chế và tắc nghẽn","Bình thường","b"
"Kết quả hô hấp ký FEV1/FVC ≥ 0,7 và FVC < 80% giá trị dự đoán là tiêu chuẩn của rối loạn thông khí dạng nào?","Bình thường","Tắc nghẽn","Hạn chế","Hỗn hợp","c"
"Kết quả hô hấp ký FEV1/FVC < 0,7 và FVC < 80% giá trị dự đoán là tiêu chuẩn của rối loạn thông khí dạng nào?","Bình thường","Tắc nghẽn","Hạn chế","Hỗn hợp","d"
"Một bệnh nhân có kết quả hô hấp ký: FEV1/FVC = 0,6 và FVC = 90% giá trị dự đoán. Kết luận tình trạng thông khí của bệnh nhân là gì?","Bình thường","Rối loạn thông khí tắc nghẽn","Rối loạn thông khí hạn chế","Rối loạn thông khí hỗn hợp","b"
"Một bệnh nhân có kết quả hô hấp ký: FEV1/FVC = 0,8 và FVC = 70% giá trị dự đoán. Kết luận tình trạng thông khí của bệnh nhân là gì?","Bình thường","Rối loạn thông khí tắc nghẽn","Rối loạn thông khí hạn chế","Rối loạn thông khí hỗn hợp","c"
"Một bệnh nhân có kết quả hô hấp ký: FEV1/FVC = 0,6 và FVC = 70% giá trị dự đoán. Kết luận tình trạng thông khí của bệnh nhân là gì?","Bình thường","Rối loạn thông khí tắc nghẽn","Rối loạn thông khí hạn chế","Rối loạn thông khí hỗn hợp","d"
"Một bệnh nhân có kết quả hô hấp ký: FEV1/FVC = 0,8 và FVC = 90% giá trị dự đoán. Kết luận tình trạng thông khí của bệnh nhân là gì?","Bình thường","Rối loạn thông khí tắc nghẽn","Rối loạn thông khí hạn chế","Rối loạn thông khí hỗn hợp","a"
"Chỉ số FEV1 < 80% giá trị dự đoán trong hô hấp ký gợi ý rối loạn thông khí dạng nào?","Rối loạn thông khí hỗn hợp","Rối loạn thông khí hạn chế","Rối loạn thông khí tắc nghẽn","Không đặc hiệu","c"
"Hình ảnh nào sau đây không phải là biểu hiện của “Hội chứng mô kẽ”?","Hình ảnh lưới","Hình ảnh nốt","Hình ảnh lưới nốt","Hình ảnh khí phế quản đồ","d"
"Đặc điểm nào sau đây KHÔNG phải là đặc điểm của “Hội chứng mô kẽ”?","Bờ không rõ","Không có xu hướng hợp lưu","Tiến triển chậm","Có hình ảnh khí phế quản đồ","d"
