"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Quy trình bảo trì định kỳ hệ thống Micromotor bởi kỹ thuật viên nên được thực hiện với tần suất nào?","Mỗi tháng","Mỗi 6 tháng","Mỗi năm","Mỗi 3 tháng","d"
"Khi thực hiện vệ sinh máy Micromotor, hành động nào sau đây là ĐÚNG theo hướng dẫn bảo quản?","Sử dụng khăn khô và dụng cụ theo máy","Xịt hơi trực tiếp vào tay khoan để làm sạch","Sử dụng dung dịch tẩy rửa mạnh","Rửa tay khoan dưới vòi nước chảy","a"
"Máy cạo cao bằng hơi nén (Air driven scalers) tạo ra sự rung động thông qua bộ phận nào?","Thanh thạch anh thạch anh","Đũa kim loại rung nhờ hơi nén","Chuỗi hợp kim sắt từ tính","Mô tơ điện siêu nhỏ","b"
"Cấu tạo của Âm cực (Cathode) trong bóng đèn X-quang bao gồm các thành phần chính nào?","Bia ngắm tungsten và lõi đồng","Màng lọc nhôm và vỏ thủy tinh","Dây tóc tungsten và ly tập trung molybdenum","Cánh tay phụ và đầu định hướng","c"
"Lý do quan trọng nhất khiến Tungsten được chọn làm vật liệu làm dây tóc âm cực là gì?","Giá thành sản xuất thấp","Khả năng giải nhiệt bằng đồng nhanh","Số nguyên tử thấp dễ bức xạ","Điểm nóng chảy rất cao (3370 độ C)","d"
"Thành phần nào trong bóng đèn X-quang có chức năng tập trung đám mây điện tử hướng chính xác về dương cực?","Ly tập trung molybdenum","Dây tóc tungsten","Lõi đồng giải nhiệt","Bia ngắm (target)","a"
"Để giải tỏa lượng nhiệt khổng lồ phát sinh tại bia ngắm của Dương cực (Anode), bộ phận nào được sử dụng?","Ly tập trung","Lõi đồng","Màng lọc nhôm","Vỏ thủy tinh chân không","b"
"Bia ngắm (target) - nơi biến đổi động năng điện tử thành tia X - được làm từ vật liệu gì?","Đồng nguyên chất","Molybdenum","Chì dát mỏng","Tungsten","d"
"Trong thiết kế bóng đèn X-quang nha khoa, bia ngắm thường đặt nghiêng một góc bao nhiêu độ so với âm cực?","15-20 độ","5-10 độ","30-45 độ","90 độ","a"
"Loại tiêu điểm nào được ứng dụng trực tiếp để tạo ra hình ảnh rõ nét trong chụp phim X-quang chẩn đoán?","Tiêu điểm thật sự","Tiêu điểm ảo","Tiêu điểm hiệu quả (effective)","Tiêu điểm nhiệt","c"
"Kỹ thuật chụp phim theo đường phân giác (BAT) lần đầu tiên được Cyeszynski áp dụng vào năm nào?","1895","1907","1947","1960","b"
"Theo nguyên lý kỹ thuật BAT, chùm tia chính (CR) phải được hướng như thế nào để hình ảnh không bị biến dạng?","Thẳng góc với trục răng","Thẳng góc với mặt phẳng phim","Song song với đường phân giác","Thẳng góc với đường phân giác của góc răng-phim","d"
"Trong kỹ thuật BAT, nếu tia chính thẳng góc với trục răng thay vì đường phân giác, hiện tượng gì sẽ xảy ra?","Hình ảnh bị kéo dài","Hình ảnh bị thu ngắn","Hình ảnh bị chồng lấp mặt bên","Hình ảnh bị mờ nét","a"
"Khi thực hiện chụp vùng răng nanh hàm trên theo kỹ thuật BAT, góc độ đứng (Vertical Angulation) chuẩn là bao nhiêu?","+20 độ","+30 độ","+45 độ","-20 độ","c"
"Mặt phẳng Camper (nối gờ bình tai đến cánh mũi) được sử dụng để định vị tư thế bệnh nhân khi chụp vùng hàm nào?","Hàm trên","Hàm dưới","Cả hai hàm","Chụp phim cắn cánh","b"
"Tại sao kỹ thuật chụp song song được đánh giá là cho hình ảnh trung thực hơn kỹ thuật phân giác?","Sử dụng đầu cone ngắn hơn","Giảm tối đa sự méo lệch và mờ nét của ảnh","Khoảng cách vật-phim là ngắn nhất","Không cần dùng dụng cụ giữ phim chuyên biệt","d"
"Trong trường hợp phòng chụp không có tấm chắn chì, nha sĩ phải đứng cách bệnh nhân tối thiểu bao nhiêu để an toàn?","6 bộ (khoảng 1.8m)","2 bộ (khoảng 0.6m)","4 bộ (khoảng 1.2m)","10 bộ (khoảng 3m)","a"
"Biện pháp kỹ thuật nào hiệu quả nhất để giảm thiểu cường độ phóng xạ cho bệnh nhân bằng cách rút ngắn thời gian phát tia?","Tăng khoảng cách nguồn-vật","Dùng gương nha khoa Fluorescent","Sử dụng phim tốc độ cao (siêu tốc)","Sử dụng áo chì cho nha sĩ","c"
"Khi thực hiện mài khô 0,5mm ngà răng bằng mũi khoan siêu tốc, mức nhiệt độ phát sinh tại chỗ có thể đạt tới bao nhiêu?","60 độ C","118 độ C","100 độ C","150 độ C","b"
"Hậu quả sinh học nghiêm trọng nhất khi nhiệt độ tại tủy răng tăng thêm 10 độ C là gì?","Tủy bị kích thích nhẹ","Răng bị đổi màu","Men răng bị nứt cực nhỏ","60% trường hợp tủy bị hoại tử","d"
"Lưu lượng nước phun sương cần thiết để vừa làm mát vừa rửa sạch mảnh vụn mô răng khi mài là bao nhiêu?","7-21 ml/phút","1-5 ml/phút","30-50 ml/phút","50-100 ml/phút","a"
"Áp lực nước phun sương lý tưởng để đạt hiệu quả tối ưu trong quá trình mài răng nên nằm trong khoảng nào?","10g - 50g","200g - 300g","50g - 150g","500g","c"
"Cấu tạo giải phẫu của một mũi khoan nha khoa tiêu chuẩn bao gồm các phần nào?","Mũi, cổ, búp sen","Phần đầu, phần cổ và phần thân","Đầu, thân, đuôi","Lưỡi cắt và cán gài","b"
"Mũi khoan chuyên dụng cho tay khoan siêu tốc có đặc điểm đường kính phần thân là bao nhiêu?","2mm","1.5mm","0.8mm","1.2mm","d"
"Để thực hiện các thao tác mở rộng lỗ sâu và loại bỏ ngà mềm, loại hình dạng mũi khoan nào thường được chỉ định?","Mũi tròn","Mũi trụ đầu bằng","Mũi bánh xe","Mũi ngọn lửa","a"
"Cơ chế cắt mô răng của mũi khoan Tungsten dựa trên đặc điểm cấu tạo nào của phần đầu?","Lớp bột mài thô","Các hạt kim cương nhân tạo","Những lưỡi cắt nhỏ","Áp lực nước phun sương","c"
"So với mũi khoan thép không rỉ, mũi khoan kim cương có khả năng mài mô răng nhanh hơn khoảng bao nhiêu lần?","1,5 lần","2 đến 3 lần","5 lần","10 lần","b"
"Khi cần làm phẳng đáy xoang trám và tạo các đường góc sắc nét, nha sĩ nên sử dụng loại mũi khoan nào?","Mũi tròn hoặc bầu dục","Mũi quả trám","Mũi nón cụt hoặc trụ đầu bằng","Mũi ngọn lửa","d"
