"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Vành cổ (cervical loop) là vị trí tiếp nối của hai lớp tế bào nào?","Biểu mô men lớp ngoài và tầng lưới","Tầng lưới và tầng trung gian","Biểu mô men lớp ngoài và biểu mô men lớp trong","Biểu mô men lớp trong và nhú răng","c"
"Sự tăng trưởng của cơ quan men để đạt kích thước thân răng tương lai chủ yếu diễn ra ở đâu?","Tầng lưới trung tâm","Tầng trung gian","Vành cổ (nơi có hoạt động phân bào tích cực)","Lá răng","c"
"Nhú răng (dental papilla) là nguồn gốc của các thành phần nào sau này?","Men răng và ngà răng","Ngà răng và tủy răng","Xê măng và dây chằng nha chu","Xương ổ răng và nướu","b"
"Túi răng (bao răng) chính danh sẽ phát triển thành các thành phần nào của hệ thống nha chu?","Ngà răng, tủy răng, xê măng","Men răng, ngà răng, xương ổ","Xê măng, dây chằng nha chu, xương ổ răng chính danh","Nướu và niêm mạc miệng","c"
"Số phận của lá răng trong giai đoạn chuông diễn ra như thế nào?","Phát triển thành xương ổ răng","Thoái hóa phân rã thành những đám tế bào biểu mô rời rạc","Biến đổi thành biểu mô bám dính","Biệt hóa thành nguyên bào men","b"
"Sự tồn tại của các nang nhỏ (nang mọc răng) trên lâm sàng thường liên quan đến thành phần nào?","Sự sót lại của bao Hertwig","Sự sót lại của lá răng (ngọc Epstein)","Sự tăng sinh của nhú răng","Sự vôi hóa của túi răng","b"
"Trình tự hình thành các mô cứng của răng diễn ra theo quy luật nào?","Men răng tạo trước, ngà răng tạo sau","Ngà răng tạo trước, men răng tạo sau","Men và ngà tạo cùng lúc tại đường nối men ngà","Xê măng tạo trước nhất để làm giá đỡ","b"
"Điều kiện tiên quyết bắt buộc để tế bào ngoại vi nhú răng biệt hóa thành nguyên bào ngà là gì?","Sự hiện diện của biểu mô men lớp ngoài","Sự hiện diện của biểu mô men lớp trong và màng đáy","Sự khoáng hóa hoàn toàn của bao răng","Sự sụt giảm của tầng trung gian","b"
"Sự hình thành men và ngà bắt đầu đầu tiên tại vị trí nào?","Vùng cổ răng","Bờ cắn hoặc đỉnh múi","Vùng chẽ chân răng","Chóp chân răng","b"
"Khi quá trình tạo mô cứng bắt đầu, tại sao tầng lưới của cơ quan men lại sụt giảm kích thước?","Để nhường chỗ cho tủy răng phát triển","Để nguyên bào men tiếp cận mạch máu nuôi dưỡng từ bao răng","Do tế bào tầng lưới bị vôi hóa","Để chuẩn bị cho sự mọc răng","b"
"Vòng đời của nguyên bào men trải qua 5 giai đoạn theo trình tự nào sau đây?","Phát sinh hình thái, Chế tiết, Biệt hóa, Trưởng thành, Bảo vệ","Biệt hóa, Phát sinh hình thái, Chế tiết, Bảo vệ, Trưởng thành","Phát sinh hình thái, Biệt hóa, Chế tiết, Trưởng thành, Bảo vệ","Phát sinh hình thái, Biệt hóa, Bảo vệ, Chế tiết, Trưởng thành","c"
"Nhú Tomes, cấu trúc quyết định sự hình thành trụ men, xuất hiện ở giai đoạn nào?","Giai đoạn biệt hóa","Giai đoạn phát sinh hình thái","Giai đoạn chế tiết","Giai đoạn bảo vệ","c"
"Chức năng của nguyên bào men trong giai đoạn bảo vệ là gì?","Tiếp tục chế tiết men răng","Ngăn sự tiếp xúc giữa men và túi răng để tránh hình thành xê măng trên men","Biệt hóa thành nguyên bào ngà thứ cấp","Hỗ trợ quá trình tiêu chân răng sữa","b"
"Thành phần vô cơ (hydroxyapatite) chiếm bao nhiêu phần trăm trong men răng trưởng thành?","70%","85%","96%","99%","c"
"Đường tăng trưởng Retzius trên tiêu bản cắt ngang răng có hình thái như thế nào?","Chạy song song với đường nối men ngà","Giống các vòng tuổi ở thân cây","Là các rãnh nằm ngang trên bề mặt men","Là các suốt men đâm sâu vào ngà","b"
"Dãy Hunter-Schreger quan sát được trong men răng phản ánh điều gì?","Sự khoáng hóa kém của men răng","Đường đi hình lượn sóng của các trụ men theo 3 chiều không gian","Sự hiện diện của vi khuẩn trong ống men","Sự hình thành ngà vỏ","b"
"Ngà vỏ (mantle dentin) có đặc điểm gì khác biệt so với ngà quanh tủy?","Khoáng hóa cao hơn","Chứa các sợi collagen dày (sợi alpha) và được tạo ra đầu tiên","Không chứa sợi collagen","Chỉ xuất hiện ở chân răng","b"
"Loại ngà nào có mức độ khoáng hóa cao nhất và lót quanh thành trong của ống ngà?","Ngà vỏ","Ngà gian ống","Ngà quanh ống (peritubular dentin)","Ngà thứ cấp","c"
"Thành phần chính của khuôn hữu cơ trong ngà răng là gì?","Collagen (chủ yếu type I)","Amelogenin","Enamelin","Mucopolysaccharide","a"
"Vùng Weil trong cấu trúc tủy răng là vùng có đặc điểm gì?","Vùng giàu tế bào nguyên bào sợi","Vùng ít tế bào (vùng vô bào) nằm dưới lớp nguyên bào ngà","Vùng chứa nhiều mạch máu lớn nhất","Vùng đang diễn ra khoáng hóa mạnh","b"
"Đường tân tạo (neonatal line) là mốc đánh dấu sự sinh ra, được tìm thấy ở đâu?","Tất cả răng vĩnh viễn","Chỉ ở răng khôn hàm dưới","Tất cả răng sữa và múi gần răng cối lớn thứ nhất vĩnh viễn","Chỉ ở răng nanh sữa","c"
"Bao biểu mô chân răng Hertwig (Hertwig's epithelial root sheath) hình thành từ đâu?","Tầng lưới và tầng trung gian","Biểu mô men lớp ngoài và biểu mô men lớp trong (vùng vành cổ)","Biểu mô miệng và nhú răng","Bao răng và nhú răng","b"
"Vai trò của hoành biểu mô (epithelial diaphragm) trong quá trình phát triển răng là gì?","Xác lập hình thể thân răng","Thành lập biên giới phía chóp răng của nhú răng và lỗ chóp sau này","Chế tiết men răng vùng chân răng","Biệt hóa thành dây chằng nha chu","b"
"Tế bào sót Malassez, có thể gây nang quanh chóp răng, có nguồn gốc từ đâu?","Lá răng","Bao biểu mô chân răng Hertwig sau khi phân rã","Nhú răng","Tầng lưới của cơ quan men","b"
"Trong điều trị nội nha, sự hiện diện của ống tủy phụ thường do khiếm khuyết nào?","Sự tăng sinh quá mức của bao Hertwig","Bao biểu mô chân răng mất tính liên tục trước khi ngà chân răng hình thành","Sự hiện diện của hạt trai men","Sự thoái hóa sớm của tủy răng","b"
"Hạt trai men (enamel pearl) thường được tìm thấy ở vùng chẽ răng do nguyên nhân nào?","Tế bào túi răng biệt hóa thành nguyên bào men","Tế bào lớp trong của bao Hertwig sót lại biệt hóa thành nguyên bào men","Sự vôi hóa của dây chằng nha chu","Sự lắng đọng calci từ nước bọt","b"
"Thứ tự hình thành ngà ở răng nhiều chân diễn ra như thế nào?","Ngà chân răng tạo trước ngà sàn tủy","Ngà vùng chẽ và sàn buồng tủy được tạo ra trước khi các chân răng hình thành","Ngà sàn tủy chỉ tạo sau khi răng đã mọc","Ngà sàn tủy tạo cùng lúc với xê măng chóp","b"
"Sự biệt hóa nguyên bào xê măng (cementoblast) xảy ra khi nào?","Khi bao biểu mô Hertwig còn nguyên vẹn","Khi bao biểu mô Hertwig phân rã, tế bào túi răng tiếp xúc với ngà chân răng","Ngay từ giai đoạn nụ","Sau khi răng đã mọc hoàn toàn vào vị trí chức năng","b"
"Thành phần nào quyết định số lượng chân răng (một chân hay nhiều chân)?","Kích thước của nhú răng","Sự phát triển và kết dính của các lá biểu mô từ màng ngăn của bao Hertwig","Áp lực của xương hàm","Số lượng nguyên bào men ở vành cổ","b"
"Nguyên nhân gây ê buốt cổ răng ở người tụt nướu liên quan đến bao Hertwig là gì?","Bao Hertwig không phân rã khiến xê măng không thể hình thành trên ngà cổ răng","Bao Hertwig thoái hóa quá sớm","Có quá nhiều tế bào sót Malassez vùng cổ","Do sự biến mất của ống ngà","a"
"Số lượng giai đoạn mọc răng được chia theo tiến trình vận động là mấy?","2 giai đoạn","3 giai đoạn (Trước mọc, Tiền chức năng, Chức năng)","4 giai đoạn","5 giai đoạn","b"
"Giai đoạn mọc tiền chức năng (prefunctional eruptive phase) kết thúc khi nào?","Khi chân răng bắt đầu hình thành","Khi răng đạt đến sự tiếp xúc mặt nhai (mặt phẳng nhai)","Khi răng bắt đầu lung lay","Khi chân răng hoàn thành 100%","b"
"Thừng dẫn răng (gubernaculum dentis) có vai trò và cấu tạo như thế nào?","Chứa tế bào tạo xương để lấp đầy huyệt ổ răng","Dây kéo răng tạo bởi các sợi bao răng hướng về phía niêm mạc miệng","Chứa mạch máu chính nuôi dưỡng mầm răng","Là phần còn lại của sụn Meckel","b"
"Khi đỉnh múi răng bắt đầu xuất hiện trong miệng, chân răng đã phát triển được bao nhiêu?","Chưa hình thành chân răng","Đã hoàn thành 1/2 đến 3/4 chiều dài chân răng","Đã hoàn thành 100% chiều dài chân răng","Chỉ mới hình thành vùng cổ răng","b"
"Vận động mọc răng tích cực nhất diễn ra vào thời điểm nào trong ngày?","Ban ngày khi đang ăn nhai","Buổi trưa khi nghỉ ngơi","Ban đêm","Mọi thời điểm đều như nhau","c"
"Nguyên nhân chính dẫn đến sự rụng răng sữa bình thường ở trẻ em là gì?","Sâu răng quá nặng","Sự tiêu chân răng sữa do áp lực mọc răng vĩnh viễn và lực nhai tăng lên","Do xương ổ răng bị viêm","Do răng vĩnh viễn mọc lệch lạc","b"
"Trình tự mọc răng sữa thông thường ở trẻ em theo tài liệu là gì?","Răng cối 1 - Răng cửa - Răng nanh","Răng cửa giữa - Răng cửa bên - Răng cối sữa 1 - Răng nanh - Răng cối sữa 2","Răng nanh - Răng cửa - Răng cối","Răng cối 2 - Răng nanh - Răng cối 1 - Răng cửa","b"
"Thói quen mút ngón tay kéo dài dẫn đến sai lệch khớp cắn nào điển hình nhất?","Răng chen chúc trầm trọng","Cắn chìa tăng và cắn hở vùng răng trước","Cắn sâu","Móm (cắn ngược)","b"
"Yếu tố nào sau đây thường làm răng vĩnh viễn mọc chậm theo quy luật sinh học?","Trẻ có chiều cao và cân nặng vượt mức","Kích thước xương hàm hẹp gây chen chúc","Giới tính nữ","Viêm nhiễm xương hàm tại chỗ","b"
"Tại sao sự rụng răng sữa thường diễn ra mà không có hiện tượng loét niêm mạc?","Do tủy răng sữa còn sống","Do biểu mô bám dính phát triển lách vào dưới thân răng sữa trước khi rụng","Do xê măng bao phủ toàn bộ thân răng","Do tác động của nước bọt","b"
"Thành phần nào của răng sữa mỏng và ít cứng hơn răng vĩnh viễn dẫn đến hiện tượng mau mòn răng?","Tủy răng","Dây chằng nha chu","Cấu trúc men răng","Xê măng","c"


