câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Đặc điểm mô học trong xơ phổi vô căn:,Viêm cấp tính,"Hình ảnh tổ ong với các vùng xơ hóa thay đổi theo thời gian",Tăng sinh tế bào lympho,U hạt hoại tử,b
Khí phế thủng là hậu quả của:,Tăng tiết nhầy,Giãn bất thường và không hồi phục các phế nang,Tắc phế quản,Tăng áp động mạch phổi,b
Loại khí phế thủng liên quan đến hút thuốc lá:,Trung tâm tiểu thùy,Toàn tiểu thùy,Ngoại vi,Cục bộ,a
"Trong hen phế quản, mô học thấy:",Mạch máu giãn rộng,"Tăng sinh tuyến nhầy, cơ trơn, và thâm nhiễm bạch cầu ái toan",Hoại tử tế bào biểu mô,Hang lao,b
Hen phế quản đặc trưng bởi:,Phản ứng viêm cấp,Quá mẫn type I (dị ứng),Nhiễm khuẩn thứ phát,Viêm mô kẽ,b
Viêm phế quản mạn được chẩn đoán khi ho có đờm kéo dài:,1 tuần,1 tháng,3 tháng mỗi năm trong ít nhất 2 năm liên tiếp,Suốt mùa đông,c
Đặc điểm chính của giãn phế quản:,Phổi teo nhỏ,Phế quản giãn không hồi phục do phá hủy thành phế quản,Xơ phổi khu trú,Hang lao,b
Giãn phế quản thường gặp ở:,Thuỳ trên phổi,Thuỳ giữa phổi,Thuỳ dưới phổi,Màng phổi,c
"Trong COPD, hiện tượng thường gặp là:",Viêm mô kẽ,Tắc nghẽn luồng khí hô hấp không hồi phục,Tăng áp lực tĩnh mạch,Tràn dịch màng phổi,b
Tổn thương mô học đặc trưng trong viêm phế quản mạn:,Viêm mô kẽ lan tỏa,"Tăng sản tuyến nhầy, thâm nhiễm viêm mãn tính",Viêm tấy hoại tử,Phù mô kẽ,b
"Trong hen phế quản, các thể vùi Charcot-Leyden là:",Tinh thể từ vỡ tế bào bạch cầu ái toan,Thể virus,Tế bào dị dạng,Xác vi khuẩn,a
Carcinôm tế bào nhỏ phế quản thường:,Phát triển chậm,Phân bào ít,Có nguồn gốc từ tế bào thần kinh nội tiết,Không di căn sớm,c
Carcinôm tuyến phổi thường gặp ở:,Phế quản chính,Ngoại vi phổi,Trung tâm tiểu thùy,Dưới màng phổi,b
Carcinôm tế bào vảy đặc trưng bởi:,Mô tuyến tăng sinh,"Cầu nối gian bào, sừng hóa",Biểu mô hình trụ,"Tế bào nhỏ, tăng sắc",b
Carcinôm tế bào nhỏ phổi có tiên lượng:,Rất tốt,Trung bình,"Rất xấu, thường chết trong vòng 1 năm nếu không điều trị",Không thay đổi theo giai đoạn,c
Ung thư phổi nguyên phát thường gặp ở:,Trẻ em,"Người già, hút thuốc lá nhiều năm",Phụ nữ trẻ,Người mắc lao phổi cấp,b
Tràn dịch màng phổi có thể do:,Lao phổi,Suy tim,Ung thư,Tất cả các nguyên nhân trên,d
Tràn khí màng phổi xảy ra khi:,Dịch thấm vào khoang màng phổi,Không khí xâm nhập khoang màng phổi,Máu tràn vào màng phổi,Lympho thấm qua,b
Viêm màng phổi do vi khuẩn có đặc điểm:,Dịch tiết trong suốt,Dịch tiết giàu protein và tế bào viêm,Dịch thanh dịch,Dịch mỡ,b
U trung biểu mô màng phổi liên quan tới:,Bụi silic,Khí CO2,Amiăng (asbestos),Suy tim,c
"Trong u trung biểu mô ác tính, mô học thấy:",Mô liên kết giàu collagen,"Tế bào hình vuông tạo tuyến và dạng sarcom",U hạt không hoại tử,Biểu mô phì đại,b
Polyp mũi thường là:,U ác tính,U mạch máu,"U lành, do viêm mạn tính",Ung thư biểu mô,c
Mô học của polyp mũi:,Hoại tử bã đậu,"Mô liên kết phù nề, thấm nhập tế bào viêm",Sừng hóa,Áp xe,b
Carcinôm vòm hầu liên quan đến:,HPV,Virus Epstein-Barr (EBV),Vi khuẩn,Nấm mốc,b
Carcinôm vòm hầu thường gặp ở:,Châu Âu,Bắc Mỹ,Đông Nam Á và Trung Quốc,Ấn Độ,c
Biểu mô trong carcinôm vòm hầu không sừng hóa:,Có biệt hóa rõ,Sừng hóa mạnh,"Không biệt hóa, nhiều tế bào lympho",Tạo tuyến,c
Polyp thanh quản thường do:,"Viêm mạn do nói nhiều hoặc hút thuốc",Ung thư,Nhiễm nấm,Dị ứng,a
U nhú thanh quản do:,Virus HPV type 6 và 11,Virus EBV,Nhiễm trùng vi khuẩn,Di truyền,a
"Trong u nhú thanh quản, mô học thấy:",Mô xơ hóa,"Biểu mô lát tầng sừng hóa, tạo nhú",U tuyến,Hoại tử,b
U nhú thanh quản có thể:,Không tái phát,Chuyển dạng ác tính hiếm gặp,Không gây biến chứng,Không cần điều trị,b
Carcinôm thanh quản tế bào vảy thường xuất hiện ở:,Người trẻ không hút thuốc,"Người lớn tuổi có tiền sử hút thuốc, uống rượu",Trẻ em,Phụ nữ tuổi sinh sản,b
Carcinôm tế bào nhỏ phế quản có đặc điểm mô học:,"Tế bào lớn, giàu bào tương","Nhân nhỏ, tăng sắc, phân bào cao",Hình nhú rõ,Tế bào dị dạng khổng lồ,b
"Trong ung thư phổi, loại thường gặp nhất ở người không hút thuốc là:",Carcinôm tế bào nhỏ,Carcinôm tuyến,Carcinôm tế bào vảy,Ung thư mô đệm,b
"Xét về dịch tễ học, loại ung thư phổ biến nhất ở phổi là:",Carcinôm tuyến,Carcinôm tế bào vảy,Carcinôm tế bào nhỏ,Sarcom,a
"Trong lao kê, sự lan truyền vi khuẩn theo đường:",Bạch huyết,Phế quản,Máu,Màng phổi,c
Mô học của bệnh phổi mô kẽ quá mẫn cấp tính cho thấy:,"U hạt không hoại tử, thâm nhiễm lympho quanh tiểu phế quản",Hoại tử bã đậu,Tăng sinh tuyến nhầy,Tế bào ái toan,a
U nhú thanh quản liên quan đến virus nào?,HPV type 16 và 18,HPV type 6 và 11,EBV,CMV,b
Loại ung thư phổi nào thường gây hội chứng cận u (paraneoplastic syndrome)?,Carcinôm tế bào nhỏ,Carcinôm tuyến,Carcinôm tế bào vảy,Sarcom,a
"Trong khí phế thủng, hiện tượng mô học nổi bật là:",Dày màng đáy,"Giãn rộng phế nang, mất vách phế nang",Xơ hóa quanh tiểu phế quản,Lắng đọng collagen,b
Tràn dịch màng phổi do ung thư đặc trưng bởi:,Dịch thanh dịch ít tế bào,Dịch tiết chứa tế bào ác tính,Dịch mủ đục,Dịch trong suốt,b
Carcinôm hầu mũi (nasopharyngeal carcinoma) thường biểu hiện triệu chứng đầu tiên là:,Sốt cao,Đau họng,Hạch cổ sưng không đau,Khó thở đột ngột,c
