"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Vị trí xuất huyết thường gặp do nguyên nhân yếu tố đông máu là:","Da","Cơ và khớp","Niêm mạc","Tạng","b"
"Dấu dây thắt (+) gợi ý bất thường về:","Thành mạch và/hoặc tiểu cầu","Tiểu cầu và/hoặc yếu tố đông máu","Yếu tố đông máu và/hoặc thành mạch","Thành mạch, tiểu cầu và yếu tố đông máu","a"
"Thời gian máu chảy kéo dài gợi ý bất thường về:","Thành mạch và/hoặc yếu tố đông máu","Tiểu cầu và/hoặc thành mạch","Yếu tố đông máu và/hoặc thành mạch","Thành mạch, tiểu cầu và yếu tố đông máu","b"
"PT và aPTT kéo dài gợi ý bất thường về:","Thành mạch","Tiểu cầu","Yếu tố đông máu","Thành mạch và tiểu cầu","c"
"Xuất huyết trên da dạng chấm và nốt, thường gặp trong các trường hợp sau, NGOẠI TRỪ:","Hemophilia","Sốt xuất huyết","Xuất huyết giảm tiểu cầu","Bệnh Schoenlein-Henoch","a"
"Đặc điểm xuất huyết do giảm số lượng tiểu cầu là: (1). Xuất huyết tự nhiên hoặc sau va chạm nhẹ. (2). Chỉ xuất huyết ở đầu xa chân. (3). Xuất huyết ở niêm mạc và tạng. (4). Xuất huyết dạng chấm hoặc nốt.","Câu 1, 2, 3 đúng","Câu 1, 2, 4 đúng","Câu 1, 3, 4 đúng","Câu 2, 3, 4 đúng","c"
"Đặc điểm xuất huyết do nguyên nhân tiểu cầu là: (1). Xuất hiện tự nhiên hoặc sau va chạm. (2). Xuất huyết đa dạng (chấm, nốt hoặc mảng). (3). Vị trí xuất huyết đa dạng (da, niêm mạc, tạng). (4). Băng ép cầm máu không được. (5). Thường đối xứng hai bên. Số câu ĐÚNG là:","2","3","4","5","a"
"Cho các đặc điểm sau: (1). Thường xuất huyết tự nhiên. (2). Thường xuất huyết ở đầu xa chi. (3). Thường gặp xuất huyết ở cơ và khớp. (4). Xuất huyết ở chi trên thường gặp hơn chi dưới. (5). Thường xuất huyết dạng chấm và nốt. (6). Băng ép cầm máu được. Số lượng câu SAI về đặc điểm xuất huyết do nguyên nhân thành mạch là:","2","3","4","5","a"
"Cho các đặc điểm sau: (1). Thường xuất huyết sau va chạm. (2). Thường xuất huyết ở da, niêm mạc và tạng. (3). Thường xuất huyết trên da dạng chấm và nốt. (4). Băng ép cầm máu thường không hiệu quả. (5). Thường đối xứng hai bên. Số đặc điểm ĐÚNG về xuất huyết do yếu tố đông máu là:","1","2","3","4","b"
"Bệnh nhân xuất huyết khớp, kèm theo mảng bầm trên da, chẩn đoán xuất huyết do bất thường về:","Số lượng tiểu cầu","Chất lượng tiểu cầu","Thành mạch","Yếu tố đông máu","d"
"Bệnh nhân xuất huyết trên da đa dạng (chấm, nốt và mảng xuất huyết), kèm theo chảy máu răng. Cần chỉ định xét nghiệm nào sau đây để chẩn đoán nguyên nhân:","Công thức máu, PT, aPTT, thời gian máu chảy","Công thức máu, PT, aPTT, co cục máu","Công thức máu, PT, thời gian máu chảy, nghiệm pháp dây thắt","Công thức máu, aPTT, thời gian máu chảy, nghiệm pháp dây thắt","a"
"Bệnh nhân xuất huyết dạng mảng và tụ máu ở cơ, khớp. Cần chỉ định xét nghiệm nào sau đây để chẩn đoán nguyên nhân:","Công thức máu","Thời gian máu chảy","PT, aPTT","Dấu dây thắt","c"
"Bệnh nhân nữ 30 tuổi, xuất huyết dưới da dạng chấm, nốt ở hai cẳng chân, đối xứng. Nguyên nhân có thể là:","Bất thường thành mạch","Giảm số lượng tiểu cầu","Giảm chất lượng tiểu cầu","Rối loạn yếu tố đông máu","a"
"Bệnh nhân nam 40 tuổi, xuất huyết tự nhiên trên da dạng mảng, kèm theo sưng đau khớp gối. Nguyên nhân có thể là:","Bất thường thành mạch","Giảm số lượng tiểu cầu","Giảm chất lượng tiểu cầu","Rối loạn yếu tố đông máu","d"
"Bệnh nhân nam 20 tuổi, sau nhổ răng chảy máu kéo dài, trên da có mảng bầm. Nguyên nhân có thể là:","Bất thường thành mạch","Giảm số lượng tiểu cầu","Giảm chất lượng tiểu cầu","Rối loạn yếu tố đông máu","d"
"Xét nghiệm nào sau đây giúp phân biệt xuất huyết do tiểu cầu và xuất huyết do yếu tố đông máu:","Thời gian máu chảy","Số lượng hồng cầu","Nồng độ hemoglobin","Nghiệm pháp dây thắt","a"
"CHỌN CÂU SAI. Đặc điểm xuất huyết do nguyên nhân tiểu cầu là: (1). Xuất hiện tự nhiên hoặc sau va chạm. (2). Xuất huyết đa dạng (chấm, nốt hoặc mảng). (3). Vị trí xuất huyết đa dạng (da, niêm mạc, tạng). (4). Băng ép cầm máu không được.","Chọn câu 1 và 3","Chọn câu 2 và 4","Chọn câu 1, 2 và 3","Chỉ chọn câu 4","d"
"Bệnh nhân xuất huyết trên da đa dạng (chấm, nốt và mảng xuất huyết), kèm theo chảy máu răng, chẩn đoán xuất huyết do bất thường về: (1). Số lượng tiểu cầu. (2). Thành mạch. (3). Chất lượng tiểu cầu. (4). Yếu tố đông máu.","Câu 1 và 3 đúng","Câu 2 và 4 đúng","Câu 1, 2 và 3 đúng","Câu 4 đúng","a"
"Bệnh nhân xuất huyết trên da đa dạng, kèm theo chảy máu răng. Chẩn đoán xuất huyết do bất thường về: (1). Số lượng tiểu cầu. (2). Thành mạch. (3). Chất lượng tiểu cầu. (4). Yếu tố đông máu.","Câu 1 và 3 đúng","Câu 2 và 4 đúng","Câu 1, 2 và 3 đúng","Câu 4 đúng","c"
"Đặc điểm xuất huyết do bất thường yếu tố đông máu là: (1). Thường xuất huyết tự nhiên. (2). Thường gặp ở cơ và khớp. (3). Băng ép cầm máu rất hiệu quả. (4). Xuất huyết trên da thường dạng mảng.","Chọn câu 1 và 3","Chọn câu 2 và 4","Chọn câu 1, 2 và 3","Chỉ chọn câu 4","b"
"Bệnh nhân xuất huyết khớp, kèm theo mảng bầm trên da. Chẩn đoán xuất huyết do bất thường về: (1). Số lượng tiểu cầu. (2). Thành mạch. (3). Chất lượng tiểu cầu. (4). Yếu tố đông máu.","Câu 1 và 3 đúng","Câu 2 và 4 đúng","Câu 1, 2 và 3 đúng","Chỉ chọn câu 4","d"
"Bệnh nhân nữ 20 tuổi, xuất huyết đa dạng (chấm, nốt và mảng), kèm chảy máu chân răng. Xét nghiệm công thức máu ghi nhận số lượng tiểu cầu 30 G/L. Chẩn đoán xuất huyết do:","Bất thường thành mạch","Giảm số lượng tiểu cầu","Giảm chất lượng tiểu cầu","Rối loạn yếu tố đông máu","b"
"Bệnh nhân nữ 20 tuổi, xuất huyết đa dạng (chấm, nốt và mảng), kèm chảy máu chân răng. Xét nghiệm công thức máu ghi nhận số lượng tiểu cầu 30 G/L, PT và aPTT bình thường. Chẩn đoán xuất huyết do:","Bất thường thành mạch","Giảm số lượng tiểu cầu","Rối loạn yếu tố đông máu","Kết hợp bất thường thành mạch và tiểu cầu","b"
"Bệnh nhân nam 20 tuổi, sưng đau khớp gối sau va chạm nhẹ, kèm mảng bầm trên da. Xét nghiệm công thức máu bình thường, thời gian máu chảy bình thường, aPTT kéo dài. Chẩn đoán xuất huyết do:","Bất thường thành mạch","Giảm số lượng tiểu cầu","Giảm chất lượng tiểu cầu","Rối loạn yếu tố đông máu","d"
