câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
"Trong hội chứng cận u (tiết TSH lạc chỗ), kết quả xét nghiệm hormon:","FT4 bình thường, TSH giảm","FT4 giảm, TSH giảm","FT4 giảm, TSH tăng","FT4 tăng, TSH tăng",d
"Các xét nghiệm miễn dịch trong bệnh lý tuyến giáp, chọn câu SAI:",TRAb tăng trong bệnh Basedow,Anti TPO tăng trong bệnh Hashimoto,Anti TG tăng trong bệnh Hashimoto,LATS tăng trong bệnh Hashimoto,d
"Siêu âm tuyến giáp, chọn câu SAI:","Giúp xác định vị trí, kích thước, cấu trúc của tuyến giáp",Giúp đánh giá chức năng tuyến giáp,Giúp phát hiện nhân giáp và đánh giá đặc điểm của nhân giáp,Hướng dẫn chọc hút tế bào bằng kim nhỏ (FNA),b
"Siêu âm Doppler màu tuyến giáp, chọn câu SAI:",Đánh giá sự phân bố mạch máu trong tuyến giáp,Tăng sinh mạch máu lan tỏa thường gặp trong bệnh Basedow,Tăng sinh mạch máu trong nhân giáp gợi ý nhân độc,Giảm sinh mạch máu trong nhân giáp gợi ý nhân độc,d
Bình thường chuyển hóa cơ bản từ:,5% đến +10%,0% đến +10%,-5% đến +10%,-10% đến +10%,d
"Chuyển hóa cơ bản, chọn câu SAI:",Đo mức tiêu thụ oxy của người bệnh trong tình trạng được nghỉ ngơi hoàn toàn,Bình thường chuyển hóa cơ bản từ -10% đến +10%,Chuyển hoá cơ bản tăng trong suy giáp và giảm trong cường giáp,Hiện nay xét nghiệm này ít sử dụng,c
"Trong xét nghiệm đo độ tập trung iod 131 tại tuyến giáp, chỉ số hấp thu iod tại thời điểm 2 giờ ở người bình thường:",15%,25%,35%,40%,a
"Trong xét nghiệm đo độ tập trung iod 131 tại tuyến giáp, chỉ số hấp thu iod tại thời điểm 24 giờ ở người bình thường:",15%,25%,35%,40%,d
Độ tập trung iod 131 tăng trong trường hợp:,"Bướu giáp háo iod, suy giáp","Suy giáp, đang điều trị thuốc kháng giáp","Cường giáp, đang điều trị thuốc kháng giáp","Cường giáp, bướu giáp háo iod",d
Độ tập trung iod 131 giảm trong trường hợp:,"Bướu giáp háo iod, suy giáp","Suy giáp, đang điều trị thuốc kháng giáp","Cường giáp, đang điều trị thuốc kháng giáp","Cường giáp, bướu giáp háo iod",b
"Xạ hình tuyến giáp, chọn câu SAI:",Dùng iod 123 hoặc Technetium-99m,99m Tc có liều hấp thu thấp và chất lượng ghi hình tốt hơn I131,Giúp đánh giá chức năng của nhân giáp,Nhân lạnh có nguy cơ ác tính thấp hơn nhân nóng,d
"Chọc hút tế bào bằng kim nhỏ (FNA), chọn câu SAI:","Là một xét nghiệm an toàn, ít tốn kém, có giá trị cao",Được chỉ định khi có nhân giáp >1 cm,Là xét nghiệm để chẩn đoán xác định ung thư tuyến giáp,FNA dưới hướng dẫn của siêu âm làm tăng độ chính xác của xét nghiệm,c
"Thăm dò chức năng tuyến cận giáp, chọn câu SAI:","Định lượng Calci, phospho máu","Định lượng Calci, phospho niệu",Định lượng TSH,Định lượng PTH,c
"Trong cường cận giáp, kết quả xét nghiệm:","Calci máu tăng, phospho máu giảm, PTH giảm","Calci máu tăng, phospho máu giảm, PTH tăng","Calci máu giảm, phospho máu tăng, PTH giảm","Calci máu giảm, phospho máu tăng, PTH tăng",b
"Thăm dò chức năng tuyến thượng thận, chọn câu SAI:",Thăm dò chức năng vỏ thượng thận,Thăm dò chức năng tủy thượng thận,Thăm dò chức năng tuyến yên,Các nghiệm pháp động,c
"Nghiệm pháp Synacthen, chọn câu SAI:",Dùng để đánh giá dự trữ của vỏ thượng thận,Dùng để chẩn đoán suy thượng thận nguyên phát,Bình thường cortisol máu tăng gấp 3-5 lần sau tiêm Synacthen,Cortisol máu không tăng trong suy thượng thận nguyên phát,c
"Nghiệm pháp hãm Dexamethason liều thấp qua đêm, chọn câu SAI:",Dùng để chẩn đoán hội chứng Cushing,Dùng 1mg Dexamethason uống lúc 23 giờ,"Cortisol máu lúc 8 giờ sáng hôm sau > 1,8 µg/dL thì loại trừ hội chứng Cushing","Cortisol máu lúc 8 giờ sáng hôm sau > 1,8 µg/dL thì chẩn đoán hội chứng Cushing",c
"Chẩn đoán đái tháo đường, chọn câu SAI:",Đường huyết lúc đói ≥ 126 mg/dL,Đường huyết 2 giờ sau nghiệm pháp dung nạp glucose ≥ 200 mg/dL,"HbA1c ≥ 6,5%",Đường huyết bất kỳ ≥ 180 mg/dL kèm triệu chứng lâm sàng,d
"Xét nghiệm HbA1c, chọn câu SAI:",Phản ánh tình trạng đường huyết trung bình trong 2-3 tháng,Không bị ảnh hưởng bởi các bệnh lý về huyết học,Giúp đánh giá hiệu quả điều trị đái tháo đường,Dùng để tầm soát và chẩn đoán đái tháo đường,b
"Các xét nghiệm tự kháng thể trong chẩn đoán đái tháo đường type 1, chọn câu SAI:",Anti-GAD,ICA,IAA,Anti-TPO,d
"Hình ảnh học thượng thận, chọn câu SAI:",CT-scan thượng thận giúp phân biệt u thượng thận là lành tính hay ác tính,Một khối u đồng nhất kích thước <4cm với bờ nhẵn và tỷ trọng >10 đơn vị Hounsfield gợi ý gần như chắc chắn là một tổn thương lành tính,Các khối u >6cm thường là ác tính,Chụp cộng hưởng từ (MRI) có hiệu quả tương đương CT-scan trong việc phân biệt khối u lành tính hay ác tính,b
"Chụp cộng hưởng từ thượng thận, chọn câu SAI:",Hiệu quả hơn CT-scan trong việc phân biệt khối u lành tính hay ác tính,Adenoma sẽ giảm tín hiệu và có cường độ tương tự gan,Pheochromocytoma có cường độ mạnh trên hình ảnh thì T2,Tổn thương có đường kính >6cm nên nhanh chóng phẫu thuật,a
"Định lượng aldosteron máu, chọn câu SAI:",Giúp phân biệt cường thượng thận nguyên phát và thứ phát,Phụ thuộc vào lượng natri và tư thế của bệnh nhân đứng hay nằm,Nồng độ natri máu cao sẽ có xu hướng ức chế aldosteron huyết thanh,Aldosteron huyết tương tăng trong cả cường aldosteron nguyên phát và thứ phát,a
Xét nghiệm nào sau đây dùng để chẩn đoán cường Aldosteron nguyên phát:,Aldosteron máu,Renin huyết tương,Tỷ lệ Aldosteron/Renin (ARR),Nghiệm pháp captopril,c
"Trong bệnh Addison, kết quả xét nghiệm điện giải đồ:","Natri máu tăng, kali máu giảm","Natri máu tăng, kali máu tăng","Natri máu giảm, kali máu tăng","Natri máu giảm, kali máu giảm",c
