câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Tế bào koilocyte có thể gặp trong:,Viêm cổ tử cung không đặc hiệu,CIN I,Carcinoma tuyến,U cơ trơn tử cung,b
Hệ thống phân loại hiện đại cho CIN là:,WHO,Bethesda,Gleason,FIGO,b
Dạ số CIN I:,Tiến triển thành ung thư,Tự thoái triển,Không điều trị được,Cắn cắt tử cung,b
CIN II và III:,Luôn luôn thoái triển,Không có liên quan đến HPV,Nguy cơ cao tiến triển thành ung thư,Không cần điều trị,c
Yếu tố nguy cơ của CIN KHÔNG BAO GỒM:,Hút thuốc lá,HPV nguy cơ cao,Suy giảm miễn dịch,Sử dụng vitamin D,d
Phát hiện CIN chủ yếu qua:,MRI,Pap smear,CT scanner,Siêu âm bung,b
Pap smear phát hiện:,Tăng sản nội mạc,Loạn sản cổ tử cung,Polyp nội mạc,U xơ tử cung,b
CIN thường không có triệu chứng ngoài trừ:,Đau đầu,Sốt,Khi hư kéo dài ra huyết bất thường,Tiêu chảy,c
HPV gây ung thư do:,Gây viêm cấp,Gây hoại từ mô,Ức chế gen p53 Rb,Làm tăng tiết dịch nhầy,c
Gen virus sinh ung chủ yếu của HPV:,E1 E2,E4 L1,E6 E7,L1 L2,c
HPV type nguy cơ cao phổ biến nhất là:,6 và 11,42 và 44,16 và 18,1 và 2,c
HPV có thể gây ung thư nào KHÔNG thuộc đường sinh dục:,Ấm đạo,Hầu môn,Hầu họng,Gan,d
HPV lây truyền chủ yếu qua:,Máu,Dịch tiểu hoá,Quan hệ tính dục,Hít phải giọt bắn,c
HPV có thể lây khi dùng chung:,Bàn chải đánh răng,Khăn mặt,Dỏ lót,Dỏ ăn,c
Cơ chế vaccine HPV dựa vào:,DNA virus sống,Tế bào bất hoạt,Virus-like particles (VLPs),Vi khuẩn chết,c
Vaccine HPV không chứa:,DNA virus,Protein L1,VLPs,Tác nhân gây ung thư,a
Vaccine HPV hiệu quả nhất khi:,Sau sinh con,Sau 40 tuổi,Trước khi quan hệ tính dục,Sau khi có HPV,c
Vaccine Gardasil 9 bảo vệ được:,2 type HPV,4 type HPV,9 type HPV,11 type HPV,c
Độ tuổi tiêm vaccine lý tưởng:,Trẻ gái 9-14 tuổi,Phụ nữ mang thai,Nam giới trên 50,Người sau điều trị ung thư,a
Pap smear phát hiện:,Koilocyte,Virus sống,DNA virus,Ung thư phôi,a
Phối hợp xét nghiệm HPV và Pap smear gọi là:,Biopsy,Co-testing,Triple test,Dual scan,b
Tế bào nghi ngờ trong Pap smear là:,Tế bào nang,Tế bào gai sừng hóa,Tế bào koilocyte,Tế bào vây bình thường,c
Vaccine HPV không khuyến cáo cho:,Người đị ứng thành phần,Phụ nữ sau mãn kinh,Người có CIN I,Người có tiền sử nhiễm HPV,a
Vaccine phòng được:,Tất cả các type HPV,Giảm 100% type nguy cơ cao,>90% type nguy cơ cao gây UTCTC,Chỉ HPV 6 và 11,c
Vaccine tạo ra:,Miễn dịch tế bào,Miễn dịch dịch thể,Miễn dịch thu động,Miễn dịch tự nhiên,b
Ung thư cổ tử cung phổ biến nhất là:,Adenocarcinoma,Carcinoma tế bào gai,Carcinoid,Lymphoma,b
Yếu tố nguy cơ lớn nhất là:,Quan hệ tính dục sớm,HPV,Hút thuốc,Viêm cổ tử cung,b
Carcinoma tế bào gai loại biệt hóa tốt có đặc điểm:,Cấu sừng rõ,Không có chất sừng,Tế bào nhỏ dị dạng,Xâm nhập mạch máu,a
Ung thư tuyến cổ trong chiểm:,70%,10-15%,50%,5%,b
CIN III không điều trị sẽ tiến thành:,Polyp cổ tử cung,Ung thư cổ tử cung xâm nhập,U xơ tử cung,Carcinoid,b
Viêm nội mạc tử cung thường xảy ra sau các tính huống nào?,Mãn kinh,Quan hệ tính dục lần đầu,Sau sinh sảy thai hoặc thủ thuật buông từ cung,Phẫu thuật vú,c
Vi khuẩn nào sau đây thường gặp trong viêm nội mạc tử cung?,Bacillus anthracis,Streptococcus,Helicobacter pylori,Clostridium tetani,b
Viêm nội mạc tử cung mạn tính thường có tế bào viêm nào đặc trưng?,Bạch cầu da nhân,Tế bào mast,Tương bào,Bạch cầu ái toàn,c
Biểu hiện mô học của viêm cấp là?,Xơ hóa mô đêm,Xâm nhập lympho báo,Thâm nhập bạch cầu da nhân trung tính,Giãn tuyến nội mạc,c
Lao nội mạc tử cung do tác nhân nào gây ra?,Mycoplasma genitalium,Mycobacterium tuberculosis,Neisseria gonorrhoeae,Candida albicans,b
Bệnh tuyến cơ tử cung phổ biến ở độ tuổi nào?,20-30 tuổi,15-25 tuổi,35-50 tuổi,Trên 60 tuổi,c
Adenomyosis là sự hiện diện của mô nào ở vị trí bất thường?,Mô lympho,Mô thần kinh,Mô nội mạc tử cung trong cơ tử cung,Mô xương trong nội mạc tử cung,c
Một triệu chứng đặc trưng của adenomyosis là?,Khó thở,Tăng huyết áp,Đau bung kinh,Viêm khớp,c
Đặc điểm về thể nào sau đây dùng với adenomyosis?,Tế bào gai,Tuyến nội mạc và mô đêm trong cơ tử cung,U mô đêm không biết hóa,Tế bào hạt dạng da nhân,b
Biểu hiện đại thể thường thấy của tử cung trong adenomyosis là?,Nhỏ gọn và mềm,Dạng nước rỗ rết,To ra với cơ dạng bề mềm,Loét và chảy máu rỗ,c
Lạc nội mạc tử cung thường xảy ra ở vị trí nào nhiều nhất?,Cổ tử cung,Thành bung,Buồng trứng,Phổi,c
Tỉ lệ phụ nữ mắc lạc nội mạc tử cung trong độ tuổi sinh sản là?,1-2%,5-15%,25-35%,50%,b
Cơ chế bệnh sinh được chấp nhận nhiều nhất là?,Nhiễm trùng,Dị ứng,Kinh nguyết ngược dòng,Thiếu máu,c
Đại thực bảo chứa hemosiderin là đặc điểm vì thế của?,Viêm nội mạc tử cung,Tăng sản,Lạc nội mạc tử cung,U cơ trơn,c
Triệu chứng làm sáng chính của bệnh là?,Sốt cao,Đau vùng chậu và vô sinh,Tăng cân,Chảy máu cam,b
Tăng sản nội mạc tử cung xảy ra khi nào?,Thiếu Estrogen,Progesterone vượt trội,Estrogen tăng cao kéo dài không bị đối kháng bởi Progesterone,Testosterone tăng cao,c
Yếu tố nguy cơ hàng đầu gây tăng sản nội mạc tử cung là?,Viêm gan B,Béo phì,Thiếu máu,Suy tuyến thượng thận,b
Thuốc Tamoxifen có thể gây tăng sản vì?,Gây ức chế androgen,Là chất chủ vận Estrogen ở nội mạc tử cung,Là chất đối kháng Estrogen hoàn toàn,Gây teo mô đêm,b
Hình ảnh mô học của tăng sản không điển hình là?,Tuyến phân bổ thưa kích thước nhỏ,Tuyến sát nhau nhân không dị dạng,Tuyến lớn mất phân cực nhân nhượng sắc,Hoại từ tuyến,c
Biểu hiện lâm sàng phổ biến nhất là?,Đau đầu,Xuất huyết tử cung bất thường,Buồn nôn,Bí tiêu,b
Polyp nội mạc là loại u nào?,U mạch,U lympho,U lành tính mô đêm nối mạc có tính đơn dòng,U cơ trơn,c
Polyp thường gặp ở phụ nữ:,Trẻ tuổi,Mãn kinh,Sau sinh,Mang thai,b
Một biểu hiện tiêm ẩn của polyp nội mạc là?,Thoái hóa bọc,Dị cắn gan,Ác tính hóa,Gây xương,c
Tổn thương mô học thường thấy là?,Tuyến nhỏ thưa,Mô đêm xơ nhiều tuyến giãn rộng,Cấu trúc sarcoma,Viêm mủ,b
Vị trí phổ biến nhất của polyp là?,Eo tử cung,Đáy tử cung,Cổ tử cung,Đáy chảng rộng,b
U cơ trơn là u:,Ác tính,Trung gian,Lành tính phổ biến nhất,Không phân loại được,c
Yếu tố nào kích thích u cơ trơn phát triển?,Progesterone,Estrogen,Androgen,Insulin,b
Vị thế của u cơ trơn cho thấy tế bào?,Hình trộn nhân nhỏ,Hình thoi nhân bầu dục ít phân báo,Nhân dị dạng phân báo cao,Bào tương ưa bazô,b
Tổn thương đại thể nào sau đây dùng với u cơ trơn?,Màu đỏ tươi chảy dịch,Mặt cắt trắng xám dạng cuộn,U mềm nhầy,Tăng sinh tuyến,b
U dưới nội mạc thường gây?,Bí tiêu,Xuất huyết tử cung bất thường,Vô sinh nam,Hoại từ buồng trứng,b
Loại ung thư nội mạc tử cung thường gặp nhất là?,Sarcoma,Carcinoma tuyến,U lympho,U cơ trơn ác tính,b
Tần suất ung thư nội mạc tử cung cao nhất ở vùng?,Đông Nam Á,Châu Âu và Bắc Mỹ,Trung Đông,Châu Phi,b
Yếu tố nguy cơ không thuộc về nội tiết là?,Béo phì,Tiểu đường,Tăng huyết áp,Hút thuốc lá,d
Hình thái mô học của carcinoma biệt hóa tốt (grad 1) là?,Tế bào không biệt hóa,Tạo ống tuyến rõ đâm đặc <5%,Tăng sản không điển hình,Nhân không chia,b
Đường đi cấn phổ biến của ung thư nội mạc là?,Hạch nách,Hạch cổ,Hạch chậu hạch ben,Hạch cổ tử cung,c
Viêm nội mạc tử cung cấp thường do?,Nhiễm nấm,Nhiễm virus,Nhiễm khuẩn sau sinh,Do u,c
Lạc nội mạc tử cung có thể gây biến chứng?,Xơ gan,Viêm phổi quán,Vô sinh,Hạ canxi máu,c
Tăng sản điển hình có thể tiến triển thành?,Viêm từ cung,Polyp,Ung thư tuyến nội mạc,U nang,c
Tăng sản điển hình có thể tiến triển thành?,Viêm từ cung,Polyp,Ung thư tuyến nội mạc,U nang,c
U cơ trơn tử cung thoái hóa có thể biểu hiện?,Tăng phân bào mạnh,Xuất huyết hoại tử hóa bọc,Dị sản tuyến,Không thay đổi,b
Phân biệt giữa tăng sản và ung thư dựa vào?,Ti lệ tuyến/mô đêm,Kích thước tử cung,Loại vi khuẩn gây bệnh,Mức độ viêm,a
Trong viêm nội mạc tử cung man tính do lao mô đêm thường có gì?,Vì thế bình thường,Mạch máu tăng sinh,Hạt viêm dạng lao,Dị sản biểu mô,c
Trong adenomyosis tuyến nội mạc tử cung thường năm ở giai đoạn nào?,Nghi,Phát triển,Teo,Hoại từ,b
Trong lạc nội mạc tử cung mô đêm có thể biến đổi thành?,Xương,Biểu mô gai,Mô cơ trơn,U hạt,c
Tăng sản nội mạc tử cung không điển hình có nguy cơ tiến triển thành ung thư?,Cao hơn tăng sản không điển hình,Thấp hơn,Không có nguy cơ,Ngược lại,a
Đặc điểm nào sau đây KHÔNG phù hợp với polyp nội mạc tử cung?,Mô đêm xơ hóa,Nhiều mạch máu,Mặt cắt mềm nhũn hoại từ,Tuyến giãn rộng,c
U cơ trơn tử cung thường có hình dạng đại thế như thế nào?,Đâm rải rác trong nội mạc,Dạng polyp nhỏ,U trộn giới hạn rõ chắc,Tổ chức mềm dạng nhầy,c
Carcinoma nội mạc tử cung grad 3 khác biệt với grad 1 ở điểm nào?,Có nhân đông nhất,Tạo ống tuyến rõ,Tỉ lệ đâm đặc > 50%,Không dị dạng tế bào,c
Một trường hợp bệnh nhân chảy máu tử cung bất thường nên nghi ngờ đến những không phải u nang buồng trứng đầu tiên?,Viêm mạn tính,Tăng sản nội mạc tử cung,U nang buồng trứng,Thiếu máu mạn,b
Tác nhân chính gây viêm nội mạc tử cung sau sinh là?,Candida,Vi khuẩn ký khi hôn hợp,Vi rút Herpes,Tế bào miễn dịch,b
Trong bệnh lý thần tứ cung tình trạng nào có thể gây từ cung không phải ư?,Polyp,Viêm cấp,Adenomyosis,Tăng sản tuyến,c
