câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Dấu ấn nào liên quan đến ung thư vú có HER2 dương tính?,Ki-67,p53,HER2/neu,CA 19-9,c
Xét nghiệm nào có thể giúp xác định nguy cơ di truyền ung thư vú?,Định lượng ER PR,Phân tích BRCA1/BRCA2,Chụp nhũ ảnh,Xét nghiệm CA 125,b
Bộ xét nghiệm nào có thể giúp xác định bệnh nhân có cần hóa trị hay không?,Oncotype DX,Mammography,CA 19-9,Xét nghiệm máu tổng quát,a
Phương pháp nào là tiêu chuẩn vàng trong xác định HER2 dương tính?,Xét nghiệm miễn dịch mô hóa (IHC),Xét nghiệm sinh hóa,PCR,Định lượng CA 15-3,a
Phẫu thuật nào được áp dụng cho bệnh nhân ung thư vú giai đoạn sớm?,Cắt bỏ toàn bộ tuyến vú,Phẫu thuật bảo tồn vú,Hóa trị đơn thuần,Liệu pháp miễn dịch,b
Trastuzumab được sử dụng trong điều trị ung thư vú có đặc điểm nào?,ER dương tính,PR âm tính,HER2 dương tính,Triple-negative,c
Tamoxifen có cơ chế hoạt động như thế nào?,Ức chế HER2,Chống estrogen tại mô vú,Kích thích thụ thể androgen,Ức chế tyrosine kinase,b
Trong ung thư vú giai đoạn III phương pháp điều trị nào thường được chỉ định đầu tiên?,Hóa trị tân bổ trợ,Xạ trị,Liệu pháp miễn dịch,Phẫu thuật ngay lập tức,a
Chỉ định nào phù hợp nhất cho liệu pháp ức chế CDK4/6 (như palbociclib)?,Ung thư vú ba âm tính,HER2 dương tính,ER dương tính HER2 âm tính,Không có thụ thể nội tiết,c
Khi nào xạ trị thường được chỉ định sau phẫu thuật ung thư vú?,Luôn luôn,Khi có di căn xa,Sau phẫu thuật bảo tồn vú,Khi bệnh nhân từ chối hóa trị,c
Hóa trị nào là phổ biến nhất trong ung thư vú?,Methotrexate đơn thuần,Cisplatin + Etoposide,Doxorubicin + Cyclophosphamide,Bevacizumab,c
Chỉ định nào phù hợp nhất cho liệu pháp miễn dịch với Pembrolizumab?,HER2 dương tính,ER dương tính,Triple-negative với biểu hiện PD-L1,Ung thư vú tại chỗ,c
Thuốc nào là lựa chọn hàng đầu cho bệnh nhân ung thư vú có đột biến BRCA?,Olaparib,Tamoxifen,Trastuzumab,Cyclophosphamide,a
Sau phẫu thuật nếu ung thư vú có di căn hạch liệu pháp nào thường được chỉ định?,Theo dõi không điều trị,Chỉ xạ trị,Hóa trị bổ trợ,Phẫu thuật lại,c
ADC (Antibody-Drug Conjugate) nào đang được nghiên cứu trong ung thư vú?,Trastuzumab Deruxtecan,Bevacizumab,Letrozole,Paclitaxel,a
Phương pháp nào có thể theo dõi tái phát ung thư vú sớm?,Chụp nhũ ảnh,Siêu âm,Sinh thiết lỏng,MRI,c
Liệu pháp miễn dịch chủ yếu nhắm vào mục tiêu nào trong ung thư vú?,HER2,PD-1/PD-L1,EGFR,VEGF,b
Chỉ số nào có thể giúp đánh giá nguy cơ tái phát trong ung thư vú ER dương tính?,HER2,Oncotype DX,CA 19-9,AFP,b
Chất ức chế PARP được dùng để điều trị ung thư vú có đột biến nào?,TP53,BRCA1/BRCA2,PIK3CA,HER2,b
Một bệnh nhân nữ 45 tuổi có ung thư vú ER dương tính PR dương tính HER2 âm tính. Liệu pháp nào phù hợp nhất?,Trastuzumab,Tamoxifen,Bevacizumab,Cisplatin,b
Một bệnh nhân có ung thư vú ba âm tính di căn gan. Phương pháp điều trị tối ưu?,Liệu pháp nội tiết,Xạ trị,Hóa trị + Miễn dịch trị liệu,Phẫu thuật,c
Bệnh nhân 55 tuổi có khối u vú HER2 dương tính phương pháp điều trị nào hiệu quả nhất?,Tamoxifen,Trastuzumab + Hóa trị,Liệu pháp miễn dịch,Chỉ xạ trị,b
Một bệnh nhân trẻ phát hiện BRCA1 đột biến lựa chọn dự phòng nào hợp lý nhất?,Theo dõi định kỳ,Hóa trị dự phòng,Cắt bỏ tuyến vú dự phòng,Liệu pháp miễn dịch,c
Một bệnh nhân ung thư vú có HER2 dương tính sau 1 năm tái phát di căn. Lựa chọn tiếp theo?,Trastuzumab + Paclitaxel,Tamoxifen,Liệu pháp miễn dịch,Chỉ xạ trị,a
Một bệnh nhân nữ 35 tuổi được chẩn đoán ung thư vú giai đoạn II có ER dương tính HER2 âm tính. Liệu pháp nào được ưu tiên sau phẫu thuật?,Xạ trị đơn thuần,Hóa trị + Tamoxifen,Chỉ theo dõi định kỳ,Chỉ hóa trị,b
Trong ung thư vú di căn xương phương pháp điều trị bổ trợ nào thường được sử dụng?,Hóa trị liều cao,Bisphosphonates,Phẫu thuật cắt bỏ tuyến vú,Xạ trị toàn thân,b
Một bệnh nhân có ung thư vú giai đoạn IV di căn gan ER âm tính HER2 dương tính. Liệu pháp nào tối ưu?,Liệu pháp nội tiết,Trastuzumab + Pertuzumab + Hóa trị,Chỉ xạ trị gan,Theo dõi định kỳ,b
Một bệnh nhân ung thư vú ba âm tính giai đoạn tiến triển có biểu hiện PD-L1 dương tính. Điều trị nào phù hợp nhất?,Hóa trị + Pembrolizumab,Tamoxifen,Xạ trị đơn thuần,Liệu pháp nội tiết,a
Một bệnh nhân có tiền sử gia đình mắc ung thư vú xét nghiệm phát hiện đột biến BRCA1. Bệnh nhân chưa mắc ung thư phương pháp dự phòng nào phù hợp?,Phẫu thuật cắt bỏ tuyến vú dự phòng,Chỉ theo dõi mỗi năm,Dùng hóa trị liều thấp,Liệu pháp miễn dịch,a
