câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Đột biến TP53 thường gặp trong?,Ung thư thanh dịch độ cao,Ung thư nội mạc tử cung,U tế bào mầm,U dây sinh dục – mô đệm,a
Dấu ấn sinh học nào được sử dụng phổ biến nhất để theo dõi ung thư buồng trứng?,CEA,CA125,AFP,hCG,b
Phương pháp hình ảnh đầu tiên được sử dụng để phát hiện u buồng trứng?,X-quang,Siêu âm qua ngả âm đạo,CT scan,MRI,b
Dấu hiệu nào giúp phân biệt u buồng trứng lành tính với ác tính trên siêu âm?,Kích thước khối u,Bờ không đều - có vách dày - tăng sinh mạch,Dịch trong nang,Không có triệu chứng,b
Hệ thống phân giai đoạn nào thường dùng cho ung thư buồng trứng?,TNM,FIGO,Ann Arbor,Dukes,b
Phương pháp điều trị chính cho ung thư buồng trứng giai đoạn sớm?,Xạ trị,Hóa trị,Phẫu thuật,Liệu pháp miễn dịch,c
Hóa trị nào thường dùng cho ung thư buồng trứng?,Methotrexate,Paclitaxel + Carboplatin,Vincristine,Adriamycin,b
Khi nào cần chỉ định liệu pháp PARP inhibitors (Olaparib)?,Khi có đột biến BRCA,Khi bệnh nhân không đáp ứng hóa trị,Khi u có kích thước lớn,Khi bệnh nhân không có triệu chứng,a
Yếu tố tiên lượng quan trọng nhất của ung thư buồng trứng?,Loại mô học,Giai đoạn bệnh khi chẩn đoán,Kích thước khối u,Đột biến KRAS,b
Tỷ lệ sống 5 năm của ung thư buồng trứng giai đoạn sớm là?,30%,50%,70%,>90%,d
Điều trị nào thường áp dụng cho ung thư buồng trứng giai đoạn muộn?,Phẫu thuật đơn thuần,Hóa trị kết hợp phẫu thuật,Xạ trị đơn thuần,Điều trị nội tiết,b
Xạ trị có vai trò gì trong điều trị ung thư buồng trứng?,Điều trị chính,Điều trị hỗ trợ giai đoạn sớm,Điều trị giảm nhẹ triệu chứng,Không có vai trò trong ung thư buồng trứng,c
Hóa trị nào thường dùng cho u tế bào mầm ác tính?,BEP (Bleomycin - Etoposide - Cisplatin),CHOP,FOLFIRI,Tamoxifen,a
Tại sao liệu pháp miễn dịch chưa phổ biến trong ung thư buồng trứng?,Ung thư buồng trứng không biểu hiện PD-L1,Cơ chế kháng nguyên thấp,Thiếu thuốc điều trị,Không có nghiên cứu nào về liệu pháp miễn dịch,b
HE4 là dấu ấn sinh học thường được kết hợp với CA125 trong?,Theo dõi điều trị ung thư buồng trứng,Phân biệt u lành tính và ác tính,Chẩn đoán ung thư cổ tử cung,Đánh giá đáp ứng với hóa trị,b
Chỉ số ROMA (Risk of Ovarian Malignancy Algorithm) kết hợp hai dấu ấn sinh học nào?,CA125 và AFP,HE4 và CEA,HE4 và CA125,BRCA1 và BRCA2,c
Xét nghiệm nào giúp xác định nguy cơ di truyền ung thư buồng trứng?,PCR,Giải trình tự gen BRCA1/2,CA125,Test nhanh HPV,b
Phương pháp nào có độ nhạy cao nhất trong phát hiện sớm ung thư buồng trứng?,Siêu âm qua ngả âm đạo,Chụp MRI,PET-CT,X-quang ngực,a
Ung thư buồng trứng giai đoạn muộn thường di căn đến cơ quan nào?,Phổi,Gan,Màng bụng (phúc mạc),Não,c
Biến chứng phổ biến của ung thư buồng trứng giai đoạn tiến triển?,Cổ trướng,Tắc ruột,Tràn dịch màng phổi,Tất cả các đáp án trên,a
Hội chứng Meigs liên quan đến loại u nào?,U quái trưởng thành,U sợi buồng trứng,U thanh dịch,U nhầy,b
Nguyên nhân chính gây tử vong ở bệnh nhân ung thư buồng trứng?,Chảy máu,Suy thận,Suy đa tạng do di căn phúc mạc,Đột quỵ,c
Yếu tố nào dưới đây KHÔNG ảnh hưởng đến tiên lượng ung thư buồng trứng?,Giai đoạn bệnh,Đột biến BRCA1/2,Mức CA125,Số lần mang thai,d
U nào có tiên lượng tốt nhất trong nhóm u tế bào mầm?,U quái không trưởng thành,U loạn sản,U túi noãn hoàng,U quái trưởng thành,d
Tỷ lệ sống 5 năm của bệnh nhân ung thư buồng trứng giai đoạn IV?,10%,30%,50%,70%,b
Yếu tố nào giúp cải thiện tiên lượng ung thư buồng trứng?,Điều trị sớm khi chưa có triệu chứng,Chỉ định hóa trị ngay cả khi u lành tính,Không thực hiện phẫu thuật,Không cần theo dõi sau điều trị,a
"Bệnh nhân nữ 55 tuổi, có cổ trướng, CA125 tăng cao, khối u buồng trứng lớn. Chẩn đoán phù hợp nhất?",U tế bào mầm,Ung thư buồng trứng giai đoạn muộn,U buồng trứng giáp biên,Lạc nội mạc tử cung,b
"Một phụ nữ trẻ có khối u buồng trứng và AFP tăng cao. Chẩn đoán phù hợp nhất?",Ung thư nội mạc tử cung,U tế bào sáng,U túi noãn hoàng,U quái trưởng thành,c
"Bệnh nhân nữ 30 tuổi, u buồng trứng, triệu chứng nam hóa. Loại u nào phù hợp nhất?",U quái trưởng thành,U tế bào Sertoli-Leydig,Ung thư thanh dịch,U nội mạc tử cung,b
"Một bệnh nhân được chẩn đoán ung thư buồng trứng thanh dịch độ cao. Phương pháp điều trị phù hợp?",Hóa trị đơn thuần,Phẫu thuật cắt bỏ + Hóa trị,Theo dõi định kỳ,Điều trị nội tiết,b
Chất ức chế PARP (Olaparib) có hiệu quả nhất ở bệnh nhân nào?,Đột biến BRCA1/2,Đột biến TP53,Đột biến KRAS,Ung thư buồng trứng lành tính,a
Bevacizumab là liệu pháp nhắm vào yếu tố nào?,VEGF,EGFR,HER2,CD20,a
Liệu pháp miễn dịch nào đang được thử nghiệm cho ung thư buồng trứng?,Pembrolizumab,Rituximab,Tamoxifen,Vincristine,a
Phương pháp nào có tiềm năng phát hiện sớm ung thư buồng trứng trong tương lai?,Liquid biopsy,Xét nghiệm glucose máu,Nội soi tử cung,Chụp X-quang bụng,a
"Nghiên cứu hiện nay đang tập trung vào yếu tố nào để phát hiện sớm ung thư buồng trứng?",Dấu ấn sinh học mới,Xét nghiệm glucose máu,Chế độ ăn uống,Giảm cân,a
"Một chiến lược phòng ngừa ung thư buồng trứng ở nhóm nguy cơ cao?",Phẫu thuật cắt buồng trứng dự phòng,Không cần theo dõi,Hóa trị dự phòng,Dùng thuốc tránh thai,a
Loại u buồng trứng nào đang có thử nghiệm liệu pháp miễn dịch?,Ung thư thanh dịch độ cao,U tế bào mầm,U quái trưởng thành,U nhầy,a
Yếu tố nào giúp cải thiện phát hiện sớm ung thư buồng trứng?,Xét nghiệm máu kết hợp siêu âm,Chỉ dựa vào CA125,Không cần theo dõi,Nội soi ổ bụng định kỳ,a
"Một phụ nữ 45 tuổi đến khám vì đau bụng kéo dài, khám phát hiện khối u buồng trứng lớn. Xét nghiệm nào cần thực hiện đầu tiên?",CA125,Xét nghiệm glucose,Test nhanh HPV,Chụp X-quang ngực,a
Đột biến nào có liên quan đến ung thư buồng trứng di truyền?,BRCA1/2,TP53,KRAS,HER2,a
"Phương pháp nào giúp phân biệt giữa u buồng trứng lành tính và ác tính?",Chỉ số ROMA,Xét nghiệm glucose,Nội soi dạ dày,Siêu âm gan,a
"Tại sao siêu âm qua ngả âm đạo có giá trị trong chẩn đoán u buồng trứng?",Phát hiện sớm khối u nhỏ,Chỉ sử dụng trong giai đoạn muộn,Không phân biệt được lành tính hay ác tính,Ít có giá trị trong đánh giá bệnh,a
"Ở bệnh nhân có nguy cơ cao ung thư buồng trứng, phương pháp nào giúp giảm nguy cơ mắc bệnh?",Cắt buồng trứng dự phòng,Chỉ theo dõi định kỳ,Hóa trị dự phòng,Chế độ ăn giàu đạm,a
"Khi ung thư buồng trứng đã di căn phúc mạc, phương pháp điều trị nào thường được sử dụng?",Hóa trị toàn thân,Xạ trị,Nội soi cắt khối u,Điều trị nội tiết,a
