câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Di chứng nguy hiểm nhất của loét dạ dày:,Giảm tiết acid,Thủng dạ dày gây viêm phúc mạc,Nôn nhiều,Hội chứng kém hấp thu,b
Loét lành có đặc điểm:,Viêm cấp nặng,Biểu mô tăng sinh mạnh,Tái tạo mô và mô sợi tổ chức hóa,Tạo nang,c
Biến chứng không thuộc loét dạ dày:,Chảy máu,Thủng,Viêm tụy,Hẹp môn vị,c
Yếu tố góp phần bảo vệ dạ dày:,H. pylori,Mucin,Pepsin,Acid HCl,b
Mô học của loét dạ dày mạn:,Chứa mủ,Bạch cầu trung tính,Biểu mô lát tầng hóa sừng,"Mô hạt, xơ hóa, thâm nhiễm tế bào viêm mạn",d
Polyp dạ dày là:,Khối mô ác tính,Sự xâm lấn mô liên kết,Tổn thương dạng u lành phát triển từ niêm mạc dạ dày,Tăng sản tuyến đáy,c
Loại polyp dạ dày phổ biến nhất:,Polyp tăng sản,Polyp tuyến,Polyp viêm,Polyp cơ,a
Polyp tuyến có nguy cơ:,Tự thoái triển,Tăng tiết acid,Chuyển dạng ác tính thành carcinôm tuyến,Hoại tử,c
Yếu tố nguy cơ gây polyp tuyến dạ dày:,Viêm tụy,Loạn sản biểu mô niêm mạc,Rối loạn điện giải,Polyp đại tràng,b
Polyp tăng sản thường liên quan đến:,Viêm dạ dày mạn tính,Thiếu máu ác tính,Stress cấp,Tăng tiết gastrin,a
"Về mô học, polyp tăng sản có đặc điểm:","Tuyến đồng đều, xếp đều","Tuyến giãn, lượn sóng, không loạn sản",Tế bào dị dạng,Lớp cơ tăng sản,b
Polyp tuyến thường được chia thành:,2 loại,3 loại,4 loại,Không phân loại,b
Polyp tuyến dạ dày có thể đi kèm:,Nhiễm nấm,Hội chứng polyp toàn bộ đường tiêu hóa (FAP),Thiếu máu,Viêm mủ,b
Hội chứng FAP thường gây:,Polyp cơ,Polyp lành tính không biến chứng,Polyp tuyến dạ dày và nguy cơ ung thư cao,Viêm loét đại tràng,c
Biến chứng thường gặp của polyp dạ dày:,Viêm tụy,Tắc ruột,"Chảy máu, loét, chuyển dạng ác tính",Tăng hấp thu,c
Polyp viêm thường liên quan đến:,Viêm gan,Viêm niêm mạc dạ dày kéo dài,Xơ gan,Lao phổi,b
Mô học polyp viêm cho thấy:,Tuyến dạng tuyến,"Thấm nhập bạch cầu đa nhân, mô sợi, mao mạch tăng sinh",Dị sản vảy,Hoại tử đông,b
Polyp dạ dày có kích thước nhỏ thường:,Di căn xa,Tự thoái lui hoặc ổn định,Tạo ổ áp xe,Gây thủng dạ dày,b
Đặc điểm giúp phân biệt polyp lành – ác:,Màu sắc,Loại tuyến,Loạn sản tế bào và phân bào bất thường,Vị trí,c
Xử trí polyp dạ dày nghi ngờ ác tính:,Theo dõi mỗi 5 năm,Uống kháng sinh,Cắt bỏ nội soi để làm giải phẫu bệnh,Điều trị nội khoa,c
Loại ung thư dạ dày phổ biến nhất:,Sarcoma,Ung thư biểu mô tuyến (adenocarcinoma),Ung thư tế bào gai,U lympho,b
Vị trí ung thư dạ dày thường gặp:,Bờ cong lớn vùng tâm vị,Bờ cong nhỏ vùng thân vị hoặc hang vị,Dưới môn vị,Thực quản,b
Yếu tố nguy cơ chính gây ung thư dạ dày:,Hút thuốc lá,Nhiễm H. pylori mạn tính,Uống sữa nhiều,Thiếu vitamin,b
Loại ung thư dạ dày có liên quan đến viêm teo và dị sản ruột:,Carcinôm tuyến dạng ruột,Carcinôm tế bào vảy,Lymphoma,Sarcoma,a
Dạng mô học của carcinôm tuyến dạng lan tỏa:,Tế bào kết dính mạnh,Tế bào hình nhẫn (signet ring cells),Tế bào gai,Tế bào nốt vôi,b
Tế bào hình nhẫn có đặc điểm:,"Nhân ở giữa, bào tương ít","Nhân lệch về một phía, bào tương chứa nhầy",Nhân đa thùy,Nhân tăng sắc và lớn,b
Ung thư dạ dày lan tỏa thường xảy ra:,"Người già, nam giới","Người trẻ tuổi, không có viêm mạn rõ ràng",Trẻ em,Người có bệnh tự miễn,b
Ung thư dạ dày dạng ruột tiến triển theo:,Giai đoạn tuyến tính rõ rệt (in situ → xâm nhập),Tăng sinh cơ học,Ung thư mạch máu,Không phân biệt được,a
Đặc điểm mô học của carcinôm tuyến dạ dày:,"Cấu trúc dạng tuyến, dị sản, loạn sản, xâm nhập mô đệm",Tăng sinh cơ trơn,Dị sản vảy,Hoại tử lan tỏa,a
Ung thư dạ dày giai đoạn muộn thường xâm nhập:,Lớp thanh mạc và lan theo mạch máu- bạch huyết,Chỉ lớp niêm mạc,Lớp dưới niêm,Lớp cơ niêm,a
Biến chứng thường gặp của ung thư dạ dày:,Tăng tiết gastrin,"Hẹp môn vị, thủng, xuất huyết",Trào ngược dạ dày thực quản,Loét,b
Chẩn đoán xác định ung thư dạ dày dựa trên:,Hình ảnh X-quang,Siêu âm,Nội soi và sinh thiết giải phẫu bệnh,Xét nghiệm máu,c
Ung thư dạ dày lan rộng có thể di căn đến:,"Gan, hạch quanh dạ dày, buồng trứng",Ruột non,Lách,Thận,a
Hội chứng Virchow liên quan đến:,Hạch thượng đòn trái di căn từ ung thư dạ dày,Hạch bẹn,Lách to,Vàng da,a
Loại ung thư dạ dày có tiên lượng xấu nhất:,Carcinôm tuyến dạng ruột,Carcinôm tuyến dạng lan tỏa,Lymphoma,Polyp ác tính,b
