"bài học","câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Hệ Tim Mạch","Trong hở van động mạch chủ nghe tim rõ nhất, chọn câu ĐÚNG","Vị trí liên sườn 3 cạnh ức trái","Tiếng thổi tâm thu","Nghe rõ bằng phần màng","Vị trí liên sườn 2 cạnh ức phải","a"
"Hệ Tim Mạch","Nghe tim hẹp van 2 lá, chọn câu SAI","Vị trí liên sườn 4,5 đường trung đòn trái","Từ tiếng T1 cho đến tiếng T2","Tiếng thổi tâm trương","Tiếng rung tâm trương","b"
"Hệ Tim Mạch","Bệnh nhân này tổn thương ổ van tim nào","2 lá","3 lá","Van động mạch chủ","Van động mạch phổi","a"
"Hệ Tim Mạch","Cơ chế gây khó thở trên bệnh nhân này","Thoát dịch từ mao mạch vào phế nang gây giảm khuếch tán khí","Tổ chức phổi kém đàn hồi","Tăng áp lực tuần hoàn phổi","Cả 3 cơ chế trên","d"
"Hệ Tim Mạch","Bệnh nhân trên khi nghe tim có thể thấy dấu hiệu nào","Rung miu","Tiếng Click tống máu","Rung tâm trương","Tiếng cọ màng tim","a"
"Hệ Tim Mạch","ECG hình ảnh nhịp nhanh đều có QRS dãn, chọn chẩn đoán ĐÚNG","Rung nhĩ đáp ứng thất nhanh có block nhánh","Nhanh vào lại nhĩ thất thuận","Nhanh xoang có block nhánh","Nhanh thất đơn hình","b"
"Hệ Tim Mạch","ECG hình ảnh nhịp nhanh không đều có QRS dãn, chọn chẩn đoán KHÔNG ĐÚNG","Nhanh thất đa hình","Rung nhĩ có đường phụ","Xoắn đỉnh","Nhanh thất đơn hình","d"
"Hệ Tim Mạch","ECG hình ảnh nhịp nhanh không đều có QRS dãn, chọn chẩn đoán KHÔNG ĐÚNG","Nhanh vào lại nhĩ thất","Rung nhĩ có block nhánh","Xoắn đỉnh","Nhanh thất đa hình","a"
"Hệ Tim Mạch","Nguyên nhân ST chênh lên trên ECG, chọn chẩn đoán KHÔNG ĐÚNG","Nhồi máu cơ tim","Viêm màng ngoài tim","Tái cực sớm","Block nhánh trái","d"
"Hệ Tim Mạch","Bệnh nhân xuất huyết trên da đa dạng (chấm, nốt và mảng), chảy máu chân răng. Kết quả xét nghiệm với PLT 200 x109/L, TS 15’ (3 – 7’), aPTT 30” (28 – 35”), PT 12” (10 – 14”). Chẩn đoán xuất huyết do","Thành mạch","Chất lượng tiểu cầu","Yếu tố đông máu","Số lượng tiểu cầu","b"
"Hệ Tiêu Hóa","Trớ là hiện tượng thức ăn từ đâu trở ngược ra miệng","Thực quản và họng","Thực quản và dạ dày","Thực quản và tá tràng","Dạ dày và tá tràng","a"
"Hệ Tiêu Hóa","Trình tự thăm khám bụng là","Nhìn, sờ, gõ, nghe","Nhìn, nghe, gõ, sờ","Nhìn, gõ, nghe, sờ","Nhìn, sờ, nghe, gõ","b"
"Hệ Tiêu Hóa","Những nguyên nhân gây đau bụng cấp. NGOẠI TRỪ","Thủng dạ dày","Viêm tụy xuất huyết","Viêm túi mật","Lao ruột","d"
"Hệ Tiêu Hóa","Nghiệm pháp Murphy để phát hiện cơ quan nào tổn thương","Gan","Túi mật","Ống mật","Tụy","b"
"Hệ Tiêu Hóa","Các triệu chứng sau đây là của hội chứng suy chức năng gan, ngoại trừ","Sao mạch","Chảy máu chân răng","Lòng bàn tay son","Lách to","d"
"Hệ Tiêu Hóa","Sinh thiết qua ngã xuyên gan qua da thường dùng chẩn đoán","Ung thư gan","Áp xe gan","Sỏi trong gan","Các bệnh lý viêm gan mạn","d"
"Hệ Tiêu Hóa","Hình ảnh các quai ruột giãn to và có nhiều mức nước-hơi xếp thành hình bậc thang trong chụp XQ bụng đứng không chuẩn bị gặp trong bệnh","Thủng tạng rỗng","Tắc ruột","Sỏi mật","Sỏi tụy","b"
"Hệ Tiêu Hóa","Chỉ số nào là xét nghiệm đơn độc tốt nhất để phân biệt báng do tăng áp cửa và báng không do tăng áp cửa","HVPG","SAAG","SAGA","SAG","b"
"Hệ Tiêu Hóa","Hội chứng Zollinger- Ellison có tăng tiết chất nào sau đây","Gastrin","Pepsinogen","Somatostatin","Histamin","a"
"Hệ Tiêu Hóa","Công thức tính SAAG","Nồng độ albumin huyết thanh – albumin dịch màng bụng","Nồng độ albumin dịch màng bụng – albumin dịch huyết thanh","Nồng độ albumin dịch màng bụng + albumin dịch huyết thanh","Nồng độ protein dịch màng bụng – protein dịch huyết thanh","a"
"Hệ Thận - Tiết Niệu","Thiểu niệu được định nghĩa khi lượng nước tiểu","Không có nước tiểu","< 0,5 ml/kg nếu theo dõi qua thông tiểu","< 0,5 ml/kg/giờ nếu theo dõi qua thông tiểu","< 0,5 ml/kg/24h nếu theo dõi qua thông tiểu","c"
"Hệ Thận - Tiết Niệu","Vô niệu được xác định trên lâm sàng khi lượng nước tiểu trong 24h","< 100 ml","< 400 ml","Không có nước tiểu","< 50 ml","a"
"Hệ Thận - Tiết Niệu","Tiếp cận bệnh nhân vô niệu, nguyên nhân nào cần phải loại trừ đầu tiên","Nhiễm trùng tiểu","Tắc nghẽn đường niệu","Hoại tử vỏ thận 2 bên","Tắc động mạch thận","b"
"Hệ Thận - Tiết Niệu","Đau quặn thận KHÔNG do nguyên nhân nào sau đây gây ra","Cục máu đông","Ứ mủ bể thận","Sỏi thận","K thận","c"
"Hệ Thận - Tiết Niệu","Nguyên nhân thận to","Nang thận, sỏi thận","Thận ứ nước, nang thận","Sỏi thận, Thận ứ nước","Nang thận, sỏi thận, thận ứ nước","b"
"Hệ Thận - Tiết Niệu","Cận lâm sàng chẩn đoán hệ thận niệu, chọn câu SAI","Xét nghiệm huyết học","Xét nghiệm sinh hóa","Xét nghiệm nước tiểu","Hình ảnh học","a"
"Hệ Thận - Tiết Niệu","Soi cặn lắng nước tiểu, có trụ hồng cầu và hồng cầu biến dạng nghĩ đến nơi tổn thương","Cầu thận","Ống thận","Bàng quang","Niệu đạo","a"
"Hệ Thận - Tiết Niệu","Trụ nào xuất hiện trong nước tiểu đặc trưng cho bệnh suy thận mạn","Trụ bạch cầu","Trụ sáp","Trụ mỡ","Trụ rộng","d"
"Hệ Thận - Tiết Niệu","Đơn vị dùng để đo độ lọc cầu thận là gì","Ml/phút/1,73m2 da","Ml/phút","Ml/giờ/1,73m2 da","Ml/1,73m2 da","a"
"Hệ Thận - Tiết Niệu","Độ lọc cầu thận ở người bình thường là bao nhiêu","120 ml/phút/1,73m2 da","120 ml/phút","130ml/phút/1,73m2 da","140 ml/phút/1,73m2 da","a"
"Huyết học","Các biểu hiện lâm sàng phụ thuộc vào các yếu tố sau, NGOẠI TRỪ","Mức độ thiếu máu","Diễn tiến thiếu máu","Tuổi","Nguyên nhân của thiếu máu","d"
"Huyết học","Triệu chứng nào dưới đây có độ nhạy cao nhất trong chẩn đoán thiếu máu","Kết mạc mi dưới nhợt","Giường móng tay nhợt","Da lòng bàn tay nhợt","Tóc dễ gãy rụng","a"
"Huyết học","Đặc điểm của âm thổi do thiếu máu là","Nghe ở kỳ tâm trương","Có thể nghe ở liên sườn IV bờ phải xương ức","Cường độ thường 2/6 đến 3/6","Cơ chế do hẹp “tương đối” van nhĩ thất","c"
"Huyết học","Mốc thời gian để phân biệt một cách tương đối thiếu máu cấp và mạn tính là","1 tuần","2 tuần","3 tuần","4 tuần","b"
"Huyết học","Chỉ số RDW dự kiến (thường gặp) của bệnh nhân như thế nào","Tăng","Giảm","Bình thường","Bình thường/giảm","a"
"Huyết học","Xét về mặt cơ chế, đặc điểm xuất huyết của nhóm nguyên nhân nào có biểu hiện được xem là đa dạng nhất","Thành mạch","Tiểu cầu","Yếu tố đông máu","von-Willebrand","b"
"Huyết học","Đặc điểm nổi bật nhất của xuất huyết do nguyên nhân thành mạch","Xuất huyết tự nhiên","Thường xuất huyết ở đầu xa chi","Xuất huyết đối xứng hai bên","Xuất huyết dạng chấm hoặc nốt hoặc mảng nhỏ","c"
"Huyết học","Đặc điểm xuất huyết do nguyên nhân tiểu cầu là","Thường xuất huyết sau va chạm","Xuất hiện ở phần xa của chi","Thường xuất huyết đa dạng","Liên quan đến chất lượng tiểu cầu hơn số lượng","c"
"Huyết học","Nguyên nhân thường gặp nhất gây xuất huyết do giảm số lượng tiểu cầu là","Nhiễm siêu vi","Dùng thuốc aspirin","Suy tủy thực sự","Thiếu vitamin K1","a"
"Huyết học","Bệnh nhân nam 10 tuổi, vào viện vì mảng bầm ở vùng mông trái lan rộng xuống mặt sau đùi sau khi tiêm bắp. Kết quả xét nghiệm: SLTC 167 (109/L), TS 4 (phút), TP 80 (%), apTT 78 (giây). Nghĩ đến bất thường gì","Xuất huyết do thành mạch","Xuất huyết giảm số lượng tiểu cầu","Xuất huyết do rối loạn yếu tố đông máu","Xuất huyết giảm chất lượng tiểu cầu","c"
"Hệ Thần Kinh","Bệnh thần kinh trung ương gây ra yếu cơ là","Thoái hoá não","Hội chứng Guillain-Barré","Viêm đa dây thần kinh","Nhược cơ","a"
"Hệ Thần Kinh","Bệnh nào dưới đây thuộc phân nhóm bệnh synap thần kinh cơ","Hội chứng Guillain-Barré","Hội chứng ống cổ tay","Viêm đa dây thần kinh","Nhược cơ","d"
"Hệ Thần Kinh","Yếu cơ do bệnh thần kinh trung ương nào sau đây","Chấn thương sọ não","Hội chứng Guillain-Barré","Hội chứng ống cổ tay","Hội chứng nhược cơ","a"
"Hệ Thần Kinh","Nguyên nhân liệt nửa người xuất hiện đột ngột","Chấn thương sọ não","U não","Áp xe não","Tụ máu dưới màng cứng mạn tính","a"
"Hệ Thần Kinh","Nguyên nhân liệt nửa người xuất hiện từ từ","Chấn thương sọ não","Đột quỵ","Huyết khối","U não","d"
"Hệ Thần Kinh","Hội chứng liệt mềm hai chi dưới bao gồm các triệu chứng","Trương lực cơ tăng","Nếu liệt do viêm đa dây thần kinh thường liệt đồng đều ngọn chi và gốc chi.","Phản ứng thoái hoá điện âm tính","Phản xạ gân xương giảm","d"
"Hệ Thần Kinh","Hội chứng cột sống thuộc phân nhóm hội chứng nào sau đây","Hội chứng liệt nửa người","Hội chứng liệt hai chi dưới","Hội chứng màng não","Hội chứng thắt lưng hông","d"
"Hệ Thần Kinh","Hội chứng cột sống có đặc điểm","Đau thường ít khu trú rõ","Đau dọc theo đường đi của dây thần kinh đùi xuống dưới chân.","Ít biến dạng cột sống","Giảm biên độ hoạt động của cột sống thắt lưng","d"
"Hệ Thần Kinh","Chẩn đoán hình ảnh học trong thần kinh bao gồm các phương pháp, CHỌN CÂU SAI","Điện não đồ","Điện thế gợi","Điện cơ đồ","Cắt lớp vi tính sọ não","b"
"Hệ Thần Kinh","Điện não đồ là sự ghi lại dao động điện thế của tế bào não, CHỌN CÂU SAI","Lan tỏa ra ngoài da đầu","Có 2 sóng cơ bản là alpha và beta","Bình thường điện thế dao động từ 10 – 100 µV","Dải tần số 4 – 30 chu kỳ/giây","a"
"Hệ Thần Kinh","Điện não đồ thường được chỉ định thường quy trong bệnh lý","Động kinh","Sa sút trí tuệ","Tổn thương choáng chỗ","Migraine","a"
"Hệ Thần Kinh","Hình ảnh kết tập là hình ảnh khi màn hình dày đặc MUAP, không thấy đường đẳng điện nữa. Nhận định trên là","Đúng","Sai","","","a"
"Hệ Thần Kinh","Đặc điểm nào sau đây là đúng về chọc dò tủy sống","Là kỹ thuật đâm kim vào khoang dưới màng nhện","Vị trí chọc dò thường ngang đốt sống L4-L5","Dùng để chẩn đoán và điều trị các bệnh lý thần kinh trung ương","Tất cả các đặc điểm trên đều đúng","d"
"Hệ Thần Kinh","Đặc điểm nào sau đây là đúng về dịch não tủy bình thường","Dịch có màu trong suốt","Bạch cầu ≤ 10 tế bào/mm³, chủ yếu là lympho bào","Không có hồng cầu","Tất cả các đặc điểm trên đều đúng","d"
"Hệ Thần Kinh","Chọc dò dịch não tủy trong trường hợp nào có nguy cơ dẫn đến biến chứng tụt não","Viêm màng não","Xuất huyết dưới nhện","Tăng áp lực nội sọ","Đau đầu dữ dội","c"
"Hệ Cơ Xương Khớp","Triệu chứng mỏi cơ-yếu cơ là triệu chứng","Cơ năng ít gặp","Cơ năng thường gặp","Thực thể ít gặp","Thực thể thường gặp","b"
"Hệ Cơ Xương Khớp","Triệu chứng co cứng cơ thường gặp trong trường hợp","Hạ calci máu","Hạ Magie máu","Hạ Kali máu","Hạ Natri máu","a"
"Hệ Cơ Xương Khớp","Triệu chứng teo cơ là triệu chứng","Cơ năng","Thực thể","Cơ năng và thực thể","Không xác định được","b"
"Hệ Cơ Xương Khớp","Dấu hiệu cứng khớp buổi sáng hơn 1 giờ thường gặp trong bệnh lý","Thoái hóa khớp","Viêm khớp dạng thấp","Viêm khớp gút","Loãng xương","b"
"Hệ Cơ Xương Khớp","Dấu hiệu lắc rắc khi cử động khớp thường gặp trong bệnh lý","Thoái hóa khớp","Gãy xương","Viêm khớp gút","Loãng xương","a"
"Hệ Cơ Xương Khớp","Xét nghiệm yếu tố dạng thấp là xét nghiệm","Chẩn đoán xác định bệnh viêm khớp dạng thấp","Góp phần chẩn đoán bệnh tự miễn","Góp phần chẩn đoán bệnh viêm khớp dạng thấp","Chẩn đoán xác định bệnh tự miễn","c"
"Hệ Cơ Xương Khớp","Xét nghiệm anti-CCP là xét nghiệm","Chẩn đoán xác định bệnh viêm khớp dạng thấp","Góp phần chẩn đoán bệnh tự miễn","Góp phần chẩn đoán bệnh viêm khớp dạng thấp","Chẩn đoán xác định bệnh tự miễn","a"
"Hệ Cơ Xương Khớp","Hình ảnh Xquang của thoái hóa khớp, chọn câu SAI","Hẹp khe khớp","Gai xương","Xơ đặc xương dưới sụn","Thoái hóa khớp","d"
"Hệ Cơ Xương Khớp","Chỉ định chọc dịch khớp xét nghiệm bắt buộc trong trường hợp","Viêm khớp do vi tinh thể","Viêm khớp nhiễm khuẩn","Tràn dịch khớp gối sau chấn thương","Tràn dịch khớp gối tái phát nhiều lần","b"
"Hệ Cơ Xương Khớp","Đặc điểm của dịch khớp có máu, chọn câu SAI","Đỏ","Độ nhớt tăng","Bạch cầu khó xác định","Cấy tùy thuộc","b"
"Hệ Nội tiết","Uống nhiều KHÔNG gặp trong bệnh nội tiết nào sau đây","Đái tháo đường","Đái tháo nhạt","Cường giáp","Suy giáp","d"
"Hệ Nội tiết","Theo phân độ của WHO, bướu giáp to độ 2 là","Bướu giáp sờ nắn được nhưng không nhìn thấy khi ngửa cổ","Bướu giáp nhìn thấy khi ngửa cổ","Bướu giáp to, nhìn thấy cổ ở tư thế bình thường","Bướu giáp sờ nắn được nhưng không nhìn thấy khi cổ ở tư thế bình thường","b"
"Hệ Nội tiết","Béo phì tập trung ở vùng mặt cổ, thượng đòn là biểu hiện điển hình","Suy vỏ thượng thận","Hội chứng cushing","Suy giáp","Đái tháo đường","b"
"Hệ Nội tiết","Sạm da là triệu chứng chính của bệnh lý","Suy vỏ thượng thận nguyên phát","Suy vỏ thượng thận thứ phát","Suy tuyến yên","Suy giáp","a"
"Hệ Nội tiết","Hội chứng Cushing liên quan đến tình trạng","Aldosteron tăng cao trong máu kéo dài","Aldosteron giảm thấp trong máu kéo dài","Cortisol tăng cao trong máu kéo dài","Cortisol giảm thấp trong máu kéo dài","c"
"Hệ Nội tiết","Cận lâm sàng thường dùng để xác chức năng tuyến giáp","Định lượng iod trong máu","Đo chuyển hoá cơ bản","Định lượng FT3, FT4, TSH trong máu","Nghiệm pháp Werner","c"
"Hệ Nội tiết","Đặc điểm cận lâm sàng của cường giáp nguyên phát","FT3 hoặc FT4 tăng, TSH tăng","FT3 hoặc FT4 tăng, TSH giảm","FT3 hoặc FT4 giảm, TSH giảm","FT3 hoặc FT4 giảm, TSH tăng","b"
"Hệ Nội tiết","Đặc điểm cận lâm sàng của suy giáp nguyên phát","FT3 hoặc FT4 tăng, TSH tăng","FT3 hoặc FT4 tăng, TSH giảm","FT3 hoặc FT4 giảm, TSH giảm","FT3 hoặc FT4 giảm, TSH tăng","d"
"Hệ Nội tiết","Độ tập trung iod 131 tăng trong trường hợp","Bướu giáp háo iod, suy giáp","Suy giáp, đang điều trị thuốc kháng giáp","Cường giáp, đang điều trị thuốc kháng giáp","Cường giáp, bướu giáp háo iod","d"
"Hệ Nội tiết","Cường cận giáp nguyên phát","PTH máu tăng, Ca máu tăng","PTH máu tăng, Ca máu giảm","PTH máu giảm, Ca máu tăng","PTH máu giảm, Ca máu giảm","a"
"Các Hội chứng và Vấn đề chung","Khó thở xuất hiện khi công hô hấp có xu hướng","Giảm dần so với thông khí tối đa","Đạt tới gần thông khí tối đa","Vượt quá thông khí tối đa","Bằng với thông khí tối đa","b"
"Các Hội chứng và Vấn đề chung","Nguyên nhân nào gây khó thở thì hít vào","Hẹp phế quản","Hen phế quản","Giãn phế nang","Bệnh phổi tắc nghẽn mạn tính","a"
"Các Hội chứng và Vấn đề chung","Bệnh nhân khó thở xuất hiện đột ngột, nhiều ở thì thở ra. Nguyên nhân có thể do","Viêm phổi","Tràn khí màng phổi","Hen phế quản","Suy tim toàn bộ","c"
"Các Hội chứng và Vấn đề chung","Phù là tình trạng tích tụ dịch thừa ở","Khoảng kẽ","Trong lòng mạch","Trong tế bào","Ngoài tế bào","a"
"Các Hội chứng và Vấn đề chung","Cơ chế chính gây phù trong hội chứng thận hư","Giảm áp lực keo huyết tương","Tăng áp lực tuỷ tĩnh huyết tương","Giảm áp lực thuỷ tĩnh mô kẽ","Tăng tính thấm mao mạch","a"
"Các Hội chứng và Vấn đề chung","Nguyên nhân chính gây phù toàn thân thường liên quan đến","Suy tim, phù do thận, tắc nghẽn mạch bạch huyết, tắc tĩnh mạch","Suy tim, phù do thận, xơ gan và thiểu dưỡng","Xơ gan và thiểu dưỡng, tắc nghẽn mạch bạch huyết, tắc tĩnh mạch","Tắc nghẽn mạch bạch huyết, tắc tĩnh mạch","b"
"Các Hội chứng và Vấn đề chung","Bệnh nhân xơ gan cổ trướng, thường liên quan đến cơ chế nào sau đây","Tăng áp lực thủy tĩnh, giảm áp lực keo","Tăng tính thấm mao mạch phúc mạc, giảm áp lực keo","Tăng tính thấm mao mạch phúc mạc, rò dịch vào khoang phúc mạc","Tăng áp lực thủy tĩnh, tăng tính thấm mao mạch phúc mạc","a"
"Các Hội chứng và Vấn đề chung","SAAG = 1,2 g/dl, gợi ý","Không có tăng áp lực tĩnh mạch cửa","Có tăng áp lực tĩnh mạch cửa","Không có tăng áp lực tĩnh mạch trên gan","Có tăng áp lực tĩnh mạch trên gan","b"
"Các Hội chứng và Vấn đề chung","Bệnh lý nào sau đây gây sốt đột ngột","Viêm phổi","Lao phổi","Thương hàn","Thấp khớp","a"
"Các Hội chứng và Vấn đề chung","Khi thân nhiệt tăng 1°C thì nhịp tim tăng thêm bao nhiêu lần một phút","5-10","10-15","15-20","20-25","b"
"Các Hội chứng và Vấn đề chung","Phân ly mạch nhiệt độ thường gặp ở bệnh lý nào","Thương hàn","Sốt rét","Lao","Viêm đường mật","a"
"Các Hội chứng và Vấn đề chung","Khi khám bệnh nhân hôn mê, người khám nên tiếp cận bệnh nhân như thế nào sau đây","Bắt đầu bằng cách gọi tên bệnh nhân một cách nhỏ nhẹ, sau đó tăng âm lượng, sau đó vừa gọi vừa lay bệnh nhân thật mạnh","Bắt đầu bằng cách lay nhẹ bệnh nhân, sau đó lay mạnh sau đó vừa lay vừa gọi tên bệnh nhân thật to","Bắt đầu bằng cách gọi tên bệnh nhân một cách nhỏ nhẹ, sau đó tăng âm lượng, sau đó vừa gọi vừa lay nhẹ bệnh nhân","Bắt đầu bằng cách gọi tên bệnh nhân một cách nhỏ nhẹ, sau đó tăng âm lượng, sau đó vừa gọi vừa lay bệnh nhân thật mạnh","c"
"Các Hội chứng và Vấn đề chung","Đồng tử co nhỏ như đầu đinh ghim hoặc 1mm, mất phản xạ với ánh sáng gặp trong hôn mê do nguyên nhân nào sau đây","Thiếu oxy não","Ngộ độc scopolamin","Ngộ độc atropin","Tổn thương cầu não","d"
"Các Hội chứng và Vấn đề chung","Hôn mê có cổ cứng gặp trong trường hợp nào sau đây","Xuất huyết não","Xuất huyết màng não","Nhồi máu não","Viêm não","b"
"Các Hội chứng và Vấn đề chung","Phù gai là dấu hiệu của vấn đề nào sau đây","Giảm áp lực nội sọ","Tăng áp lực nội sọ","Áp lực nội sọ bình thường","Bệnh lý không liên quan gì đến áp lực nội sọ","b"
