"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Khi hỏi bệnh và khám lâm sàng liên quan đến hội chứng thiếu máu cần trả lời bao nhiêu vấn đề chính:","3","4","5","6","b"
"Các vấn đề chính cần trả lời liên quan đến hội chứng thiếu máu là, NGOẠI TRỪ:","Chẩn đoán thiếu máu","Mức độ thiếu máu","Diễn tiến thiếu máu cấp tính/mạn tính","Khả năng bù trừ của cơ thể","d"
"Dấu hiệu nào sau đây KHÔNG là triệu chứng của thiếu máu:","Niêm mạc nhợt","Da xanh","Tiểu sậm màu","Chóng mặt","c"
"Dấu hiệu nào sau đây KHÔNG là triệu chứng của thiếu máu:","Niêm mạc nhợt","Da xanh","Khó thở khi gắng sức","Vàng da","d"
"Triệu chứng nào dưới đây có độ nhạy cao nhất trong chẩn đoán thiếu máu:","Kết mạc mi dưới nhợt","Giường móng tay nhợt","Da lòng bàn tay nhợt","Tóc dễ gãy rụng","a"
"Triệu chứng đau cơ do thiếu máu mạn tính có đặc điểm, NGOẠI TRỪ:","Nặng dần về cuối ngày","Do tích tụ acid lactic","Kèm theo tê bì và dị cảm","Đáp ứng tốt với nghỉ ngơi","c"
"Hoa mắt, chóng mặt, ù tai, nhức đầu là những triệu chứng của thiếu máu do:","Thiếu oxy ở da, niêm mạc","Thiếu oxy ở hệ cơ","Thiếu oxy ở não","Thiếu oxy ở tim","c"
"Dấu hiệu Lhermitte (cảm giác điện giật lan dọc xương sống khi gập cổ) gợi ý nguyên nhân thiếu máu do:","Thiếu sắt","Thiếu vitamin B12","Tan máu","Suy tủy","b"
"Trong thiếu máu, nhịp tim thường:","Chậm","Bình thường","Nhanh","Lúc nhanh lúc chậm","c"
"Âm thổi tâm thu cơ năng ở mỏm tim hoặc ổ van động mạch phổi trong thiếu máu là do:","Tăng độ quánh của máu","Giảm cung lượng tim","Giảm tốc độ tuần hoàn","Giảm độ quánh của máu, tăng tốc độ tuần hoàn","d"
"Thiếu máu cấp tính có đặc điểm sau, NGOẠI TRỪ:","Xảy ra đột ngột","Bệnh nhân thường nhập viện ngay","Do mất máu hoặc tan máu cấp","Cơ thể có thời gian để thích nghi","d"
"Đặc điểm nào sau đây KHÔNG phù hợp với thiếu máu mạn tính:","Diễn tiến từ từ trong nhiều tháng","Cơ thể có khả năng thích nghi","Biểu hiện lâm sàng rầm rộ","Triệu chứng thường xuất hiện khi mức độ thiếu máu nặng","c"
"Tiếng thổi tâm thu do thiếu máu thường xuất hiện ở mức độ nào:","Mức độ nhẹ","Mức độ trung bình","Mức độ nặng","Cấp tính","c"
"Hoạt động thích nghi của cơ thể khi thiếu máu gồm, NGOẠI TRỪ:","Kích thích trung tâm hô hấp","Gan, lách giảm tạo máu","Tăng nhịp tim","Tăng tạo erythropoietin","b"
"Mốc thời gian để phân biệt một cách tương đối thiếu máu cấp và mạn tính là:","1 tuần","2 tuần","3 tuần","4 tuần","b"
"Chỉ số nào sau đây giúp phân biệt thiếu máu do nguyên nhân trung ương hay ngoại vi:","Nồng độ hemoglobin (Hb)","Thể tích trung bình hồng cầu (MCV)","Nồng độ hemoglobin trung bình hồng cầu (MCHC)","Số lượng hồng cầu lưới","d"
"Thiếu máu hồng cầu nhỏ khi thể tích trung bình hồng cầu (MCV) là:","< 80 fL","80 - 100 fL","> 100 fL","> 120 fL","a"
"Thiếu máu hồng cầu bình thường khi thể tích trung bình hồng cầu (MCV) là:","< 80 fL","80 - 100 fL","> 100 fL","> 120 fL","b"
"Thiếu máu hồng cầu to khi thể tích trung bình hồng cầu (MCV) là:","< 80 fL","80 - 100 fL","> 100 fL","< 120 fL","c"
"Theo phân loại dựa vào hình thái hồng cầu, thiếu máu được chia thành:","Thiếu máu hồng cầu nhỏ, bình thường, to","Thiếu máu nhược sắc, bình sắc, ưu sắc","Thiếu máu cấp tính, mạn tính","Thiếu máu có đáp ứng tạo máu và không có đáp ứng tạo máu","a"
"Dựa vào chỉ số MCH (lượng Hb trung bình hồng cầu), thiếu máu nhược sắc khi:","> 32 pg","28 - 32 pg","< 28 pg","< 27 pg","d"
"Nguyên nhân thường gặp nhất gây thiếu máu hồng cầu nhỏ là:","Tan máu","Bệnh Thalassemia","Thiếu sắt","Bệnh lý mạn tính","c"
"Nguyên nhân gây thiếu máu hồng cầu to, NGOẠI TRỪ:","Thiếu vitamin B12","Thiếu acid folic","Bệnh lý gan","Bệnh Thalassemia","d"
"Theo cơ chế bệnh sinh, dựa vào xét nghiệm nào dưới đây để chia thiếu máu thành có đáp ứng tạo máu và không có đáp ứng tạo máu:","Số lượng hồng cầu","Công thức bạch cầu","Số lượng tiểu cầu","Số lượng hồng cầu lưới","d"
"Tình trạng KHÔNG có đáp ứng tạo máu (thiếu máu do nguyên nhân trung ương) là do:","Suy giảm sản xuất hồng cầu tại tủy xương","Tăng phá hủy hồng cầu ở ngoại vi","Mất máu cấp","Tan máu mạn","a"
"Thiếu máu do suy tủy xương thuộc nhóm nguyên nhân nào theo cơ chế bệnh sinh:","Trung ương","Ngoại vi","Tại hồng cầu","Ngoài hồng cầu","a"
"Tình trạng có đáp ứng tạo máu (thiếu máu do nguyên nhân ngoại vi) là do, NGOẠI TRỪ:","Mất máu cấp","Tan máu cấp","Tan máu mạn","Suy tủy xương","d"
"Bệnh nhân có tiền sử đi tiêu phân đen kéo dài, gợi ý nguyên nhân thiếu máu do:","Tan máu","Thiếu sắt","Suy tủy","Thiếu vitamin B12","b"
"Bệnh nhân có biểu hiện vàng da, lách to, nước tiểu sậm màu, gợi ý nguyên nhân thiếu máu do:","Tan máu","Mất máu mạn","Thiếu sắt","Suy tủy","a"
"Bệnh nhân có kèm xuất huyết da niêm, gợi ý nguyên nhân thiếu máu do:","Mất máu mạn","Tan máu","Bệnh lý tủy xương","Thiếu acid folic","c"
"Để chẩn đoán thiếu máu do thiếu sắt, xét nghiệm nào sau đây có giá trị nhất:","Sắt huyết thanh","Transferrin","Ferritin huyết thanh","Độ bão hòa transferrin","c"
"Xét nghiệm phết máu ngoại biên có vai trò, NGOẠI TRỪ:","Đánh giá hình thái, kích thước, màu sắc hồng cầu","Đánh giá các tế bào bất thường","Đánh giá chính xác số lượng hồng cầu lưới","Góp phần định hướng nguyên nhân thiếu máu","c"
"Xét nghiệm nào sau đây giúp chẩn đoán xác định các bệnh lý tại tủy xương (suy tủy, lơ-xê-mi):","Phết máu ngoại biên","Định lượng erythropoietin","Tủy đồ","Điện di hemoglobin","c"
"Điện di hemoglobin là xét nghiệm cần thiết để chẩn đoán bệnh lý nào:","Thiếu máu thiếu sắt","Thiếu máu do suy tủy","Thalassemia và các bệnh hemoglobin khác","Thiếu máu tan máu tự miễn","c"
"Các vấn đề chính cần trả lời liên quan đến hội chứng thiếu máu là: (1). Khả năng bù trừ của cơ thể. (2). Mức độ thiếu máu. (3). Bệnh lý đi kèm. (4). Nguyên nhân gây thiếu máu.","Câu 1 và 3 đúng","Câu 2 và 4 đúng","Câu 1, 2 và 3 đúng","Câu 4 đúng","b"
"Dấu hiệu nào sau đây là triệu chứng của thiếu máu: (1). Niêm mạc nhợt. (2). Đau nhức cơ. (3). Nhức đầu. (4). Tiểu sậm màu.","Câu 1 và 3 đúng","Câu 2 và 4 đúng","Câu 1, 2 và 3 đúng","Câu 4 đúng","b"
"Thiếu máu do mất máu cấp, các chỉ số huyết học trong những giờ đầu có thể:","Giảm ngay lập tức","Bình thường hoặc giảm nhẹ","Tăng","Không thay đổi","b"
"Xét nghiệm nào sau đây tăng trong thiếu máu tan máu:","Haptoglobin","Bilirubin gián tiếp","Sắt huyết thanh","Ferritin","b"
"Nói về phân loại thiếu máu trên lâm sàng: (1). Theo diễn tiến. (2). Theo hình thái hồng cầu. (3). Theo cơ chế bệnh sinh. (4). Theo thể tích máu chảy.","Câu 1 và 3 đúng","Câu 2 và 4 đúng","Câu 1, 2 và 3 đúng","Câu 4 đúng","c"
"Phân loại thiếu máu theo cơ chế bệnh sinh giúp ích gì trên lâm sàng:","Đánh giá mức độ nặng của thiếu máu","Định hướng chẩn đoán nguyên nhân và điều trị","Theo dõi diễn tiến bệnh","Tiên lượng bệnh","b"
