câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
U lymphô Burkitt có đặc điểm nào trên tiêu bản mô học?,Kiểu tăng sinh "bầu trời đầy sao" (starry sky pattern),Hoại tử trung tâm nang lymphô,Xơ hóa lan tỏa,Thâm nhiễm tế bào mast,a
Chuyển đoạn t(14;18) thường gặp trong loại u lymphô nào?,U lymphô nang (Follicular lymphoma),U lymphô Hodgkin,Bệnh bạch cầu lymphô cấp tính (ALL),U lymphô tế bào T,a
Yếu tố nguy cơ môi trường gây bệnh bạch cầu tủy cấp tính (AML)?,Phơi nhiễm benzene,Ăn thực phẩm nhiều muối,Thiếu vitamin D,Hút thuốc lá thụ động,a
Virus Epstein-Barr (EBV) có liên quan đến loại u lymphô nào?,U lymphô Burkitt,Bệnh bạch cầu tủy mạn,U lymphô tế bào NK,U lymphô Hodgkin,a
Hội chứng thực bào lymphô-histiocyte máu (HLH) có thể dẫn đến biến chứng nào nghiêm trọng nhất?,Suy đa tạng,Viêm hạch lymphô khu trú,Tăng bạch cầu ái toan,Giảm ferritin máu,a
Trong bệnh bạch cầu lymphô cấp (ALL) và dấu ấn miễn dịch nào là đặc trưng của dòng tế bào B?,CD19,CD3,CD56,CD8,a
Biểu hiện lâm sàng phổ biến của u lymphô Hodgkin là gì?,Sưng hạch không đau,Sốt kéo dài nhưng không sưng hạch,Tăng bạch cầu trung tính,Xuất huyết tự phát,a
Dạng u lymphô Hodgkin phổ biến nhất là?,Dạng xơ cục,Dạng tế bào hỗn hợp,Dạng giàu lymphô,Dạng nghèo lymphô,a
U lymphô không Hodgkin nào có liên quan chặt chẽ với vi khuẩn Helicobacter pylori?,U lymphô MALT dạ dày,U lymphô Burkitt,U lymphô tế bào T ngoại vi,U lymphô tế bào B lớn lan tỏa,a
Chỉ số nào thường tăng cao trong hội chứng thực bào lymphô-histiocyte máu (HLH)?,Ferritin,Albumin,Canxi,Bạch cầu đa nhân trung tính,a
Tổn thương mô học điển hình của bệnh bạch cầu dòng tủy mạn (CML) là gì?,Tăng sinh dòng bạch cầu hạt,Thâm nhiễm tế bào plasma,Hoại tử lan tỏa,Tăng sinh mô xơ trong tủy xương,a
Liệu pháp điều trị nhắm trúng đích trong bệnh bạch cầu dòng tủy mạn (CML) sử dụng thuốc nào?,Imatinib,Methotrexate,Rituximab,Vincristine,a
Trong u lymphô tế bào B lớn lan tỏa (DLBCL) và xét nghiệm nào giúp phân biệt giữa các phân nhóm tiên lượng?,Xét nghiệm gen MYC và BCL2 và BCL6,Đo hoạt độ men LDH,Soi tủy đồ,Miễn dịch hóa mô CD4 và CD8,a
Đặc điểm quan trọng giúp phân biệt u lymphô Hodgkin với u lymphô không Hodgkin là gì?,Sự hiện diện của tế bào Reed-Sternberg,Tổn thương lan tỏa ngoài hạch,Sự xâm nhập mô kẽ của tế bào B nhỏ,Mức độ xơ hóa hạch lymphô,a
Lymphoma là gì?,Bệnh lý ác tính của tế bào lympho,Viêm hạch lymphô mạn tính,Rối loạn miễn dịch nhẹ,Nhiễm trùng hạch bạch huyết,a
Loại u lymphô nào thường gặp nhất?,U lymphô tế bào B lớn lan tỏa (DLBCL),U lymphô Burkitt,U lymphô tế bào T ngoại vi,U lymphô Hodgkin,a
Đặc điểm tế bào đặc trưng của u lymphô Hodgkin là gì?,Tế bào Reed-Sternberg,Tế bào Burkitt,Tế bào plasma,Tế bào mast,a
Trong các phân nhóm u lymphô Hodgkin và loại nào phổ biến nhất?,Loại xơ cục,Loại tế bào hỗn hợp,Loại giàu lympho,Loại nghèo lympho,a
Trong u lymphô Burkitt và chuyển đoạn nhiễm sắc thể nào thường gặp?,t(8;14) liên quan đến gen MYC,t(14;18) liên quan đến gen BCL2,t(9;22) liên quan đến BCR-ABL,t(11;14) liên quan đến cyclin D1,a
U lymphô không Hodgkin nào có liên quan mật thiết với virus Epstein-Barr (EBV)?,U lymphô Burkitt,U lymphô tế bào B lớn lan tỏa (DLBCL),U lymphô tế bào T ngoại vi,Bệnh bạch cầu lympho mạn (CLL),a
Dấu ấn miễn dịch nào phổ biến trong u lymphô tế bào B lớn lan tỏa (DLBCL)?,CD20,CD3,CD56,CD117,a
Triệu chứng "B symptoms" trong lymphoma bao gồm?,Sốt và đổ mồ hôi đêm và giảm cân không rõ nguyên nhân,Ho dai dẳng và mệt mỏi và phát ban,Đau khớp và gan lách to và phù nề,Tiêu chảy kéo dài và đau bụng và sụt cân,a
Yếu tố tiên lượng quan trọng nhất trong u lymphô không Hodgkin là?,Chỉ số IPI (International Prognostic Index),Mức độ xâm lấn hạch lymphô,Tình trạng miễn dịch bệnh nhân,Số lượng bạch cầu trung tính,a
Liệu pháp điều trị tiêu chuẩn cho u lymphô tế bào B lớn lan tỏa (DLBCL) là?,Hóa trị R-CHOP,Xạ trị đơn thuần,Liệu pháp miễn dịch đơn thuần,Phẫu thuật cắt bỏ hạch,a
