"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Chụp cắt lớp vi tính mạch vành (MSCT) có ưu điểm, chọn câu KHÔNG ĐÚNG:","Thủ thuật không xâm lấn","Thời gian chụp nhanh","Giá trị tiên đoán âm cao","Có thể can thiệp mạch vành ngay khi phát hiện hẹp","d"
"MRI tim có ưu thế hơn MSCT trong trường hợp, chọn câu KHÔNG ĐÚNG:","Đánh giá sẹo cơ tim","Bệnh cơ tim","Bệnh nhân suy thận","Đánh giá vôi hóa mạch vành","d"
"Trong bệnh lý tim mạch, XQ ngực thẳng có giá trị, chọn câu ĐÚNG:","Đánh giá chính xác chức năng co bóp của tim","Đánh giá mức độ hẹp van tim","Đánh giá bóng tim và tuần hoàn phổi","Chẩn đoán xác định nhồi máu cơ tim","c"
"Siêu âm tim qua thành ngực khảo sát được, chọn câu KHÔNG ĐÚNG:","Kích thước các buồng tim","Chức năng co bóp cơ tim","Tình trạng các van tim","Hình ảnh trực tiếp động mạch vành","d"
"Nghiệm pháp gắng sức có chống chỉ định, chọn câu KHÔNG ĐÚNG:","Nhồi máu cơ tim cấp trong vòng 2 ngày","Hẹp động mạch chủ nặng có triệu chứng","Suy tim mất bù","Đau thắt ngực ổn định","d"
"Thông tim phải giúp đánh giá, chọn câu KHÔNG ĐÚNG:","Áp lực các buồng tim phải","Áp lực động mạch phổi","Cung lượng tim","Mức độ hẹp động mạch vành","d"
"Chụp mạch vành qua da được chỉ định trong trường hợp, chọn câu KHÔNG ĐÚNG:","Đau ngực không ổn định","Nhồi máu cơ tim cấp có ST chênh lên","Sau ngưng tim tuần hoàn","Tầm soát bệnh mạch vành ở người không có triệu chứng","d"
"Nguyên nhân gây tăng BNP:","Suy tim","Suy thận","Quá tải tuần hoàn","Tất cả đúng","d"
"BNP có giá trị nhất trong:","Chẩn đoán xác định suy tim tâm thu","Chẩn đoán loại trừ suy tim","Chẩn đoán nhồi máu cơ tim","Chẩn đoán bệnh van tim","b"
"Giá trị bình thường của Troponin Ths là:","10 ng/L","12 ng/L","14 ng/L","16 ng/L","c"
"Bệnh nhân nhồi máu cơ tim, Troponin bị âm tính giả trong trường hợp:","Đến quá muộn sau 24h","Đến quá sớm","Có suy thận","Đã được điều trị trước đó","b"
"Cách cho xét nghiệm men tim Troponin trong chẩn đoán nhồi máu cơ tim:","Chỉ cần cho 1 lần","Cho 2 lần cách nhau 5 phút","Cho nhiều lần theo chuỗi","Không cần cho men tim nếu đo điện tim bình thường","c"
"Các nguyên nhân gây tăng Troponin, chọn câu KHÔNG ĐÚNG:","Chỉ bệnh tim mạch","Thiếu máu","Suy thận","Nhiễm trùng huyết","a"
"Các dấu hiệu điện tim của bệnh mạch vành:","ST chênh lên","ST chênh xuống","T âm sâu đối xứng","Tất cả đúng","d"
"Dùng nghiệm pháp gắng sức chẩn đoán bệnh mạch vành, chọn câu ĐÚNG:","Độ đặc hiệu cao","Dương tính giả cao","Độ đặc hiệu cao","Rất chính xác","b"
"Dùng men CK-MB chẩn đoán nhồi máu cơ tim, chọn câu KHÔNG ĐÚNG:","Hiện nay ít dùng","Dương tính giả thấp","Độ đặc hiệu thấp","Không chính xác","b"
"Muốn đánh giá sự nguyên vẹn hệ thống dẫn truyền xung động điện của tim cần cho cận lâm sàng nào:","Điện tim","Siêu âm tim","XQ ngực","Chụp mạch vành qua da","a"
"Muốn đánh giá chính xác hệ mạch vành hẹp bao nhiêu phần trăm cần có cận lâm sàng nào:","Điện tim","Siêu âm tim","XQ ngực","Chụp mạch vành qua da","d"
"Giá trị của BNP:","Chẩn đoán loạn nhịp tim","Chẩn đoán nhồi máu cơ tim","Chẩn đoán suy tim","Chẩn đoán bệnh van tim","c"
"Giá trị của Troponin:","Chẩn đoán loạn nhịp tim","Chẩn đoán nhồi máu cơ tim","Chẩn đoán suy tim","Chẩn đoán bệnh van tim","b"
"Các cận lâm sàng có thể chẩn đoán bệnh van tim, chọn câu KHÔNG ĐÚNG:","Siêu âm tim","XQ ngực","Thông tim","Men tim","d"
"Bệnh nhân đau thắt ngực nghi ngờ nhồi máu cơ tim, cận lâm sàng hỗ trợ chẩn đoán, chọn câu KHÔNG ĐÚNG:","Điện tim","Men tim","XQ ngực","Siêu âm tim","c"
"Chỉ định MRI tim:","Rối loạn nhịp tim","Tăng huyết áp","Viêm cơ tim","Tất cả sai","c"
"Biến chứng chụp mạch vành, chọn câu KHÔNG ĐÚNG:","Tử vong","Đột quỵ","Tổn thương thận cấp","Viêm cơ tim","d"
"Bệnh nhân có rối loạn nhịp tim, cận lâm sàng nào sau đây nên được chỉ định:","Chụp mạch vành","Holter điện tâm đồ","X quang ngực","MRI tim","b"
"Hình ảnh bóng tim to trên X quang ngực gặp trong trường hợp:","Tràn dịch màng ngoài tim","Suy tim","Bệnh cơ tim giãn nở","Tất cả đúng","d"
"Nguyên nhân nào sau đây gây ra dấu hiệu ST chênh lên lan tỏa trên điện tim:","Nhồi máu cơ tim cấp","Viêm màng ngoài tim cấp","Phình vách thất","Tăng kali máu","b"
"Điện tim cấp cứu tại giường trong trường hợp nào, chọn câu KHÔNG ĐÚNG:","Rối loạn nhịp tim","Đau ngực cấp","Rối loạn điện giải","Tầm soát bệnh tim mạch","d"
"Các nguyên nhân gây dương tính giả Troponin, chọn câu KHÔNG ĐÚNG:","Suy thận mạn","Thuyên tắc phổi","Nhiễm trùng huyết","Đau thắt ngực ổn định","d"
"So sánh giữa NT-proBNP và BNP, chọn phát biểu ĐÚNG:","NT-proBNP có thời gian bán hủy ngắn hơn BNP","Giá trị nồng độ của NT-proBNP thường thấp hơn BNP","NT-proBNP có thời gian bán hủy dài hơn BNP","Cả hai có giá trị chẩn đoán như nhau trong mọi tình huống","c"
"So sánh giữa Troponin Ths và Troponin I, chọn phát biểu ĐÚNG:","Troponin I nhạy hơn Troponin Ths","Troponin Ths (độ nhạy cao) giúp phát hiện tổn thương cơ tim sớm hơn","Cả hai có giá trị như nhau trong chẩn đoán sớm","Troponin I đặc hiệu hơn cho tái nhồi máu","b"
"Ngưỡng tối ưu để loại trừ suy tim ở những bệnh nhân khởi phát cấp tính (suy tim cấp) là:","< 300 pg/mL với NT-proBNP","< 50 pg/mL với BNP","< 1000 pg/mL với NT-proBNP","< 200 pg/mL với BNP","a"
"Chọn phát biểu KHÔNG ĐÚNG về men troponin:","Troponin khá đặc hiệu cho cơ tim","Bắt đầu tăng khá sớm sau nhồi máu cơ tim","Đạt đỉnh 3-6 giờ","Nhồi máu cơ tim càng rộng, tăng troponin càng nhiều","c"
"Các nguyên nhân có thể gây ra sóng Q bệnh lý trên điện tâm đồ:","Nhồi máu cơ tim cũ","Bệnh cơ tim phì đại","Hội chứng Wolff-Parkinson-White","Tất cả đúng","d"
"Trên X quang ngực thẳng, hình ảnh cung nhĩ trái phồng gặp trong trường hợp nào:","Hẹp van hai lá","Hở van hai lá","Thông liên nhĩ","Tất cả đúng","d"
"Trên X quang ngực thẳng, hình ảnh động mạch chủ phồng gặp trong bệnh lý nào:","Tăng huyết áp","Hở van động mạch chủ","Phình động mạch chủ","Tất cả đúng","d"
"Nguyên nhân tăng áp tĩnh mạch phổi:","Bệnh phổi mạn","Hở van ba lá","Hẹp van động mạch phổi","Hẹp van hai lá","d"
"Các mặt cắt cơ bản của siêu âm tim, chọn câu KHÔNG ĐÚNG:","Cạnh ức trái trục dọc","Cạnh ức trái trục ngang","4 buồng từ mỏm tim","Trên bờ sườn","d"
"Các dấu hiệu siêu âm tim trong hở van hai lá, chọn câu KHÔNG ĐÚNG:","Giãn nhĩ trái, thất trái","Dòng hở hai lá trên Doppler màu","Tăng phân suất tống máu thất trái","Rối loạn vận động vùng","c"
