"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Nội soi đường tiêu hóa trên có thể giúp chẩn đoán bệnh lý sau, ngoại trừ:","Viêm loét thực quản","Giãn tĩnh mạch thực quản","Sỏi túi mật","Ung thư dạ dày","c"
"Chống chỉ định của nội soi tiêu hóa trên là:","Thủng tạng rỗng","Nghi ngờ tắc ruột","Xuất huyết tiêu hóa trên","Đau thượng vị","a"
"Hình ảnh các quai ruột giãn to và có nhiều mức nước-hơi xếp thành hình bậc thang trong chụp XQ bụng đứng không chuẩn bị gặp trong bệnh:","Thủng tạng rỗng","Tắc ruột","Sỏi mật","Sỏi tụy","b"
"Phương pháp chụp đường mật nào thông dụng:","Chụp đường mật ngược dòng qua nội soi (ERCP)","Chụp đường mật xuyên gan qua da (PTC)","Chụp đường mật cản quang","Chụp đường mật không chuẩn bị","a"
"ALT (Alanine aminotransaminase) còn có tên gọi khác là:","SGOT","GGT","SGPT","ALP","c"
"Men AST có nhiều nhất ở cơ quan nào:","Gan","Tim","Cơ vân","Não","b"
"Men GGT thường tăng nhất trong bệnh lý:","Viêm gan do siêu vi","Viêm gan do rượu","Viêm gan do thuốc","Viêm gan do nhiễm độc","b"
"CEA (Carcinoma Embryonic Antigen):","Là kháng nguyên của tế bào ruột ở thai nhi","Là kháng nguyên của tế bào dạ dày ở thai nhi","Là kháng nguyên của tế bào thận ở thai nhi","Là kháng nguyên của tế bào thần kinh ở thai nhi","a"
"CA 19-9 (Carcinoma Antigen 19-9):","Là kháng nguyên có ở tế bào tuyến của các tạng dạ dày, ruột, vú, phổi, tụy, đặc biệt là tụy","Là kháng nguyên của tế bào dạ dày ở thai nhi","Là kháng nguyên của tế bào gan ở thai nhi","Là kháng nguyên của tế bào buồng trứng ở thai nhi","a"
"AFP (Alpha Fetoprotein) tăng rất cao trong bệnh:","Ung thư gan nguyên phát","Ung thư gan thứ phát","Ung thư đường mật","Ung thư tụy","a"
"Dịch báng dạng dịch thấm thường gặp trong bệnh lý nào sau đây:","Lao màng bụng.","Ung thư dạ dày di căn.","Vỡ bạch mạch","Suy tim nặng","d"
"Các đặc điểm nào sau đây là của dịch báng dạng dịch tiết:","Protein dịch báng> 30g/l","Phản ứng Rivalta(-).","Tế bào< 250/mm3","Protein báng/Protein máu <1/2","a"
"Chọn phát biểu SAI về CEA (Carcinoma Embryonic Antigen):","Là kháng nguyên của tế bào ruột ở thai nhi.","Giá trị bình thường <5ng/mL.","Chỉ số này tăng trong ung thư đường tiêu hóa (dạ dày, đại tràng), phổi, vú, tụy.","CEA có độ đặc hiệu cao trong chẩn đoán ung thư đường tiêu hóa.","d"
"Phản ứng Rivalta dương tính khi:","Nhỏ giọt dịch báng vào ống nghiệm chứa nước cất, thấy giọt dịch tan ngay.","Nhỏ giọt dịch báng vào ống nghiệm chứa dung dịch acid acetic, thấy giọt dịch tan ngay.","Nhỏ giọt dịch báng vào ống nghiệm chứa nước cất, thấy giọt dịch không tan.","Nhỏ giọt dịch báng vào ống nghiệm chứa dung dịch acid acetic, giọt dịch không tan mà lơ lửng như khói thuốc.","d"
"Dịch báng có màu trắng đục như sữa gợi ý:","Nhiễm trùng.","Tràn máu.","Vỡ bạch mạch.","Lao màng bụng.","c"
"Amylase dịch báng tăng cao gợi ý:","Lao màng bụng","Thủng đường mật.","Bệnh lý tụy.","Viêm phúc mạc nhiễm khuẩn nguyên phát.","c"
"Nồng độ bilirubin dịch báng cao gợi ý:","Lao màng bụng","Thủng đường mật.","Bệnh lý tụy hoặc thủng ống tiêu hóa.","Viêm phúc mạc nhiễm khuẩn nguyên phát.","b"
"Chỉ số SAAG dịch báng <1,1g/dL gợi ý các bệnh lý sau, ngoại trừ:","Hội chứng thận hư","Bệnh lý ruột mất albumin","Suy dinh dưỡng","Hội chứng Budd-Chiari","d"
"Chỉ số SAAG dịch báng ≥1,1g/dL gợi ý các bệnh lý sau, ngoại trừ:","Xơ gan","Suy tim (P)","Suy dinh dưỡng","Hội chứng Budd-Chiari","c"
"Công thức tính SAAG:","Nồng độ albumin huyết thanh – albumin dịch màng bụng","Nồng độ albumin dịch màng bụng – albumin dịch huyết thanh","Nồng độ albumin dịch màng bụng + albumin dịch huyết thanh","Nồng độ protein dịch màng bụng – protein dịch huyết thanh","a"
"Khi cấy dịch cổ trướng thấy có 1 loại vi khuẩn mọc, gặp trong:","Viêm phúc mạc thứ phát","Viêm phúc mạc nguyên phát","Ung thư màng bụng","Viêm phúc mạc nguyên phát hoặc ung thư màng bụng.","b"
