"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Trong các nhận định sau đây, nhận định nào là đúng về triệu chứng tím","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu tĩnh mạch","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu <5g/dL","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên"
"Trong các nhận định sau đây, nhận định nào là không đúng về triệu chứng tím","Tím trung ương phản ánh tình trạng thiếu oxy của hệ thống máu động mạch","Tím ngoại biên phản ánh sự giảm lưu lượng máu tuần hoàn ngoại biên","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc","Tím do tập trung nồng độ các hemoglobin không được oxy hóa trong máu >5g/dL","Tím là sự chuyển màu thành xanh hoặc xanh tím của da nhưng không ảnh hưởng đến màu sắc niêm mạc"
"Tím trung ương được phân biệt với tím ngoại biên nhờ sự xuất hiện tím ở","Đầu chi","Vành tai","Môi","Lưỡi","Lưỡi"
"Trong các đặc điểm sau đây, đặc điểm nào là không đúng về dấu hiệu Hoover","Đáy ngực co vào trong thì hít vào","Gặp trong khí phế thũng","Gặp trong suy hô hấp mạn","Gặp trong liệt cơ hoành","Gặp trong liệt cơ hoành"
"Trong các phát biểu sau đây về ngón tay dùi trống, phát biểu nào là không đúng","Đây là tình trạng đoạn xa của ngón to ra do tăng tổ chức mô mềm","Thường không đau","Luôn luôn đối xứng, ở tay và chân","Nguyên nhân do bệnh lý tại lồng ngực hoặc ngoài lồng ngực","Luôn luôn đối xứng, ở tay và chân"
"Trong các phát biểu sau đây, phát biểu nào là không đúng về ngón tay dùi trống","Đây là tình trạng đoạn xa của ngón to ra do tăng tổ chức mô mềm","Thường gây đau","Thường đối xứng 2 bên","Nguyên nhân do bệnh lý tại lồng ngực hoặc ngoài lồng ngực","Thường gây đau"
"Trong các kiểu biến dạng liên quan đến lồng ngực sau đây, kiểu biến dạng nào ít ảnh hưởng đến hoạt động hô hấp","Lồng ngực hình thùng","Lồng ngực ức gà","Tình trạng gù, ưỡn cột sống","Tình trạng vẹo cột sống","Lồng ngực ức gà"
"Gọi là lồng ngực hình thùng khi tỷ lệ đường kính trước sau so với đường kính ngang",">0.75","=0.75",">1","=1","=1"
"Nguyên nhân nào sau đây gây ra tràn dịch màng phổi dịch thấm","Tắc tĩnh mạch chủ trên","Hội chứng Dressler","Lupus ban đỏ hệ thống","Viêm khớp dạng thấp","Tắc tĩnh mạch chủ trên"
"Trong các phát biểu sau đây về hội chứng trung thất, phát biểu nào là không đúng","Hội chứng trung thất xảy ra khi có sự chèn ép các thành phần của trung thất","Triệu chứng đau vai lan xuống tay có thể gặp trong hội chứng Pancoast-Tobias","Khối u trung thất có thể gây ra hội chứng chèn ép tĩnh mạch chủ trên","Khi thần kinh quặt ngược trái bị tổn thương sẽ gây triệu chứng nấc, khó thở","Khi thần kinh quặt ngược trái bị tổn thương sẽ gây triệu chứng nấc, khó thở"
"Triệu chứng đau vai lan xuống tay có thể gặp trong hội chứng nào sau đây","Hội chứng Claude Bernard-Horner","Hội chứng Pancoast-Tobias","Hội chứng trung thất trước","Hội chứng trung thất sau","Hội chứng Pancoast-Tobias"
"Hội chứng Pancoast-Tobias có sự tổn thương của thành phần nào sau đây","Thần kinh phế vị","Thần kinh giao cảm cổ","Thần kinh hoành","Đám rối thần kinh cánh tay","Đám rối thần kinh cánh tay"
"Hội chứng Claude Bernard-Horner có sự tổn thương của thành phần nào sau đây","Thần kinh phế vị","Thần kinh giao cảm cổ","Thần kinh hoành","Đám rối thần kinh cánh tay","Thần kinh giao cảm cổ"
"Hội chứng chèn ép tĩnh mạch chủ trên không gồm dấu hiệu nào trong các dấu hiệu sau đây","Phù áo khoác","Tím ở cổ và mặt","Tuần hoàn bàng hệ ở bụng","Tĩnh mạch cổ nổi","Tuần hoàn bàng hệ ở bụng"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây hội chứng trung thất giữa","U tuyến ức","U tuyến giáp","U thần kinh","U hạch Hodgkin","U hạch Hodgkin"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây hội chứng trung thất trước","U tuyến giáp","U thần kinh","U hạch Hodgkin","Sarcoidose","U tuyến giáp"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây hội chứng trung thất sau","U tuyến giáp","U thần kinh","U hạch Hodgkin","Sarcoidose","U thần kinh"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây hội chứng trung thất giữa","U tuyến giáp","U thần kinh","Sarcoidose","U tuyến hung","Sarcoidose"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây hội chứng trung thất giữa","U tuyến giáp","U thần kinh","Bụi phổi","U tuyến hung","Bụi phổi"
"Trong các nguyên nhân sau đây, nguyên nhân nào gây hội chứng trung thất trước","U tuyến hung","U thần kinh","U hạch Hodgkin","Sarcoidose","U tuyến hung"
"Liệt dây thần kinh quặt ngược thanh quản là triệu chứng gợi ý hội chứng nào sau đây","Hội chứng trung thất trên","Hội chứng trung thất giữa","Hội chứng trung thất trước","Hội chứng trung thất sau","Hội chứng trung thất giữa"
"Liệt dây thần kinh hoành là triệu chứng gợi ý hội chứng nào sau đây","Hội chứng trung thất trên","Hội chứng trung thất giữa","Hội chứng trung thất trước","Hội chứng trung thất sau","Hội chứng trung thất giữa"
"Đau dây thần kinh liên sườn là triệu chứng gợi ý hội chứng nào sau đây","Hội chứng trung thất trên","Hội chứng trung thất giữa","Hội chứng trung thất trước","Hội chứng trung thất sau","Hội chứng trung thất sau"
"Hội chứng chèn ép tĩnh mạch chủ trên gợi ý bất thường nằm ở vị trí nào sau đây","Trung thất trên","Trung thất giữa","Trung thất trước","Trung thất sau","Trung thất trước"
"Triệu chứng khó nuốt gợi ý bất thường nằm ở vị trí nào sau đây","Trung thất trên","Trung thất giữa","Trung thất trước","Trung thất sau","Trung thất sau"
