câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Sung huyết tĩnh có đặc điểm nào sau đây?,Quá trình chủ động,Do tắc nghẽn hồi lưu tĩnh mạch,Gây giãn nở động mạch,Mô có màu đỏ tươi,b
Thần y học được tôn thờ ở Hy Lạp là:,Apollo,Zeus,Asclepius,Hermes,c
Loại ung thư đại tràng phổ biến nhất:,Carcinôm tế bào vảy,Carcinôm tuyến (adenocarcinoma),Sarcoma,U lympho,b
Giãn phế quản thường gặp ở:,Thuỳ trên phổi,Thuỳ giữa phổi,Thuỳ dưới phổi,Màng phổi,c
Loại xơ gan do rượu thường có đặc điểm:,Gan mềm và phồng,"Gan teo nhỏ, bề mặt hạt nhỏ đều",Mô gan tăng sinh lan tỏa,Tế bào Kupffer phì đại,b
Đặc điểm của u lành tính là:,Giới hạn rõ ràng không xâm lấn,Có khả năng di căn,Phát triển rất nhanh,Xâm nhập mạch máu,a
Đặc điểm mô học của CIN II:,Loạn sản nhẹ,Loạn sản vừa tổn thương đến 2/3 chiều dày biểu mô,Không có bất thường tế bào,Biểu mô tuyến bị đảo lộn,b
Một bệnh nhân có ung thư vú ba âm tính di căn gan. Phương pháp điều trị tối ưu?,Liệu pháp nội tiết,Xạ trị,Hóa trị + Miễn dịch trị liệu,Phẫu thuật,c
Đột biến nào liên quan đến ung thư buồng trứng di truyền?,TP53,BRCA1/2,KRAS,MYC,b
Sinh thiết tủy xương của bệnh nhân HLH cho thấy đặc điểm nào?,Đại thực bào thực bào các tế bào máu,Tăng sinh tế bào plasma,Giảm sản xuất bạch cầu hạt,Hoại tử mô mỡ,a
A patient with myocardial infarction presents with coagulative necrosis. What is the main reason for this type of necrosis?,Lysosomal enzyme release,Ischemia leading to protein denaturation,Bacterial infection,Autoimmune response,b
Polyp tuyến dạ dày có thể đi kèm:,Nhiễm nấm,Hội chứng polyp toàn bộ đường tiêu hóa (FAP),Thiếu máu,Viêm mủ,b
Mô học u tuyến giáp lành thường có:,Tế bào nhân không điển hình,"Tế bào nang đồng nhất, không xâm lấn vỏ",Dị sản gai rõ,Hoại tử lan rộng,b
Phù toàn thân (anasarca) thường liên quan đến tình trạng nào sau đây?,Suy dinh dưỡng,Hội chứng thận hư,Xơ gan,Tất cả các đáp án trên,d
Ai đã phát triển vắc-xin phòng bệnh dại?,Edward Jenner,Robert Koch,Louis Pasteur,Alexander Fleming,c
Viêm loét đại tràng thường bắt đầu tại:,Hồi tràng,Manh tràng,Trực tràng,Hỗng tràng,c
Carcinôm tế bào nhỏ phế quản có đặc điểm mô học:,"Tế bào lớn, giàu bào tương","Nhân nhỏ, tăng sắc, phân bào cao",Hình nhú rõ,Tế bào dị dạng khổng lồ,b
Dấu hiệu mô học đặc trưng trong carcinôm ống mật:,Tuyến tăng sản và mô đệm xơ hóa mạnh,Bè tế bào,Tế bào gan hình thoi,Hoại tử dạng bã đậu,a
Đặc điểm chính của u ác tính là:,Không có khả năng xâm lấn,Phát triển chậm,Xâm nhập mô xung quanh và có thể di căn,Luôn có vỏ bao,c
Biểu hiện mô học của viêm cấp là?,Xơ hóa mô đêm,Xâm nhập lympho báo,Thâm nhập bạch cầu da nhân trung tính,Giãn tuyến nội mạc,c
Một bệnh nhân có ung thư vú giai đoạn IV di căn gan ER âm tính HER2 dương tính. Liệu pháp nào tối ưu?,Liệu pháp nội tiết,Trastuzumab + Pertuzumab + Hóa trị,Chỉ xạ trị gan,Theo dõi định kỳ,b
Chỉ số ROMA (Risk of Ovarian Malignancy Algorithm) kết hợp hai dấu ấn sinh học nào?,CA125 và AFP,HE4 và CEA,HE4 và CA125,BRCA1 và BRCA2,c
Virus Epstein-Barr (EBV) có liên quan đến loại u lymphô nào?,U lymphô Burkitt,Bệnh bạch cầu tủy mạn,U lymphô tế bào NK,U lymphô Hodgkin,a
"In cancer therapy, drugs that induce apoptosis in cancer cells mainly target which protein?",p53,Actin,Myosin,Hemoglobin,a
Dị sản ruột là:,Chuyển sản tuyến nhầy sang biểu mô trụ tiết chất nhầy ruột,Tăng sản cơ,Dị sản vảy,Loạn sản mô liên kết,a
Tuyến giáp trong phình giáp đơn thuần nặng sẽ:,Hoàn toàn xơ hóa,Không thay đổi mô học,"Có thể xuất huyết, thoái hóa nang",Luôn luôn hóa ác,c
Yếu tố đông máu nào có vai trò quan trọng trong quá trình hình thành fibrin?,Yếu tố VIII,Yếu tố IX,Yếu tố X,Yếu tố XIII,d
Ai phát minh ra kính hiển vi?,Antonie van Leeuwenhoek,Robert Hooke,Galileo Galilei,Andreas Vesalius,a
Mô học của viêm đại tràng giả mạc:,Dị sản biểu mô,"Màng giả gồm fibrin, bạch cầu, mảnh vụn hoại tử",Nang lao,Lắng đọng amyloid,b
"Trong giai đoạn gan hóa đỏ, phổi có đặc điểm gì?","Có màu xám, vách phế nang dày","Nhiều dịch xuất nhầy, không có hồng cầu","Đặc cứng, màu đỏ, chứa nhiều bạch cầu trung tính","Phổi phồng to, chứa không khí",c
Sỏi sắc tố thường liên quan đến:,Thiếu máu,Nhiễm vi khuẩn và ký sinh trùng,Rượu,Tăng insulin,b
Danh pháp của các khối u lành tính thường có hậu tố nào?,-sarcoma,-carcinoma,-oma,-blastoma,c
Thuốc Tamoxifen có thể gây tăng sản vì?,Gây ức chế androgen,Là chất chủ vận Estrogen ở nội mạc tử cung,Là chất đối kháng Estrogen hoàn toàn,Gây teo mô đêm,b
Ung thư vú giai đoạn nào có tiên lượng tốt nhất?,Giai đoạn I,Giai đoạn II,Giai đoạn III,Giai đoạn IV,a
Đột biến nào có liên quan đến ung thư buồng trứng di truyền?,BRCA1/2,TP53,KRAS,HER2,a
Trong u lymphô Burkitt và chuyển đoạn nhiễm sắc thể nào thường gặp?,t(8;14) liên quan đến gen MYC,t(14;18) liên quan đến gen BCL2,t(9;22) liên quan đến BCR-ABL,t(11;14) liên quan đến cyclin D1,a
Tăng sản sinh lý của tuyến vú xảy ra trong tình huống nào?,Dậy thì,Mãn kinh,Hút thuốc lá kéo dài,Thiếu oxy mô,a
Tổn thương mô học điển hình trong loét:,Loét nông dừng ở biểu mô,Mất cấu trúc niêm mạc + tổ chức hạt + mô xơ + viêm mạn,Dị sản tuyến,U hạt,b
Dạng viêm tuyến giáp có thể dẫn đến suy giáp vĩnh viễn:,Viêm giáp cấp,Viêm giáp bán cấp,Viêm giáp Hashimoto,Viêm giáp Riedel,c
DIC là một tình trạng trong đó?,Hình thành huyết khối lan rộng,Giảm tiêu fibrin,Giảm tạo yếu tố đông máu,Rối loạn chức năng gan,a
Bệnh học phân tử giúp chẩn đoán:,Ung thư,Bệnh di truyền,Bệnh nhiễm trùng,"Cả A, B và C",d
Lồng ruột ở trẻ em thường do:,U tuyến,Tăng sản mô lympho,Sỏi phân,Tắc mạch,b
Lao kê có đặc điểm đại thể:,Một khối lớn ở đỉnh phổi,Tổn thương dạng nốt to trên 1 cm,Nhiều hạt kê vàng nhạt rải rác trong nhu mô phổi,Dịch mủ ở màng phổi,c
Đặc điểm mô học của HCC:,Tế bào hình tròn sắp xếp tuyến,"Tế bào gan dị dạng, bè tế bào dày >2 lớp",Tế bào cơ trơn,Tế bào hình nhẫn,b
Xạ trị tiêu diệt tế bào ung thư bằng cách nào?,Phá hủy DNA của tế bào ung thư,Tăng tốc độ chết tế bào theo chương trình,Kích thích hệ miễn dịch tiêu diệt tế bào ung thư,Ức chế nguồn cung cấp năng lượng của tế bào,a
Polyp có trong cố tử cung là:,Ung thư tuyến,Tổn thương giả ư,U ác tính,Tổn thương hoại từ,b
Hệ thống phân giai đoạn nào được dùng trong ung thư vú?,FIGO,Ann Arbor,TNM,Dukes,c
Một chiến lược phòng ngừa ung thư buồng trứng ở nhóm nguy cơ cao?,Phẫu thuật cắt buồng trứng dự phòng,Không cần theo dõi,Hóa trị dự phòng,Dùng thuốc tránh thai,a
Yếu tố nguy cơ môi trường gây bệnh bạch cầu tủy cấp tính (AML)?,Phơi nhiễm benzene,Ăn thực phẩm nhiều muối,Thiếu vitamin D,Hút thuốc lá thụ động,a
Which enzyme maintains telomere length in stem cells?,DNA polymerase,RNA polymerase,Telomerase,Caspase-3,c
Polyp tăng sản thường liên quan đến:,Viêm dạ dày mạn tính,Thiếu máu ác tính,Stress cấp,Tăng tiết gastrin,a
Phình giáp đơn thuần còn được gọi là:,Viêm giáp tự miễn,Bướu cổ không độc,Cường giáp nhẹ,Nang tuyến giáp,b
"""Gan hạt cau"" là hậu quả của?",Sung huyết tĩnh phổi,Sung huyết động,Sung huyết tĩnh gan mạn tính,Tắc nghẽn bạch huyết,c
Kỹ thuật nào giúp xác định đột biến gen trong ung thư?,PCR,Giải trình tự DNA,Lai tại chỗ huỳnh quang (FISH),"Cả A, B và C",d
Viêm loét đại tràng thường:,Tổn thương từng vùng,Liên tục không ngắt quãng,Tổn thương xen kẽ,Ảnh hưởng chủ yếu ruột non,b
Carcinôm vòm hầu thường gặp ở:,Châu Âu,Bắc Mỹ,Đông Nam Á và Trung Quốc,Ấn Độ,c
Nốt tái tạo ở xơ gan hình thành từ:,Tăng sinh ống mật,Tế bào Kupffer,Tăng sinh tế bào gan còn lại,Đại thực bào,c
U ác tính có xu hướng phát triển nhanh do:,Hoạt động phân bào cao,Giảm tín hiệu ức chế tăng trưởng,Xâm nhập mạch máu,Tất cả các yếu tố trên,d
CIN I là:,Loạn sản nhẹ giới hạn 1/3 dưới biểu mô,Loạn sản toàn bộ biểu mô,Loạn sản tuyến,Ung thư biểu mô tại chổ,a
Hóa trị nào là phổ biến nhất trong ung thư vú?,Methotrexate đơn thuần,Cisplatin + Etoposide,Doxorubicin + Cyclophosphamide,Bevacizumab,c
Yếu tố tiên lượng quan trọng nhất của ung thư buồng trứng?,Loại mô học,Giai đoạn bệnh khi chẩn đoán,Kích thước khối u,Đột biến KRAS,b
U lymphô Burkitt có đặc điểm nào trên tiêu bản mô học?,"Kiểu tăng sinh ""bầu trời đầy sao"" (starry sky pattern)",Hoại tử trung tâm nang lymphô,Xơ hóa lan tỏa,Thâm nhiễm tế bào mast,a
Tổn thương không hồi phục dẫn đến?,Teo cơ,Hoại tử hoặc apoptosis,Phì đại,Tăng sản,b
Hội chứng Virchow liên quan đến:,Hạch thượng đòn trái di căn từ ung thư dạ dày,Hạch bẹn,Lách to,Vàng da,a
Chất keo trong lòng nang tuyến giáp bắt màu gì trong nhuộm HE?,Bắt màu base,Bắt màu acid,Không bắt màu,Bắt màu eosin mạnh,b
Bệnh Von Willebrand liên quan đến bất thường của?,Tiểu cầu,Fibrinogen,Yếu tố Von Willebrand,Yếu tố X,c
"Trong bệnh học miễn dịch,xét nghiệm nào thường được sử dụng để phát hiện các bệnh tự miễn?",ELISA,PCR,Chụp cắt lớp CT,Xét nghiệm công thức máu,a
Ung thư bên trái đại tràng thường:,Gây tiêu chảy nặng,"Tắc ruột sớm, thay đổi thói quen đại tiện",Không có triệu chứng,Hoại tử gan,b
Xẹp phổi chèn ép thường do:,Viêm phế quản,Tràn dịch hoặc tràn khí màng phổi,Dị vật phế quản,Phù phổi cấp,b
Mô học của viêm túi mật cấp:,Thâm nhập lympho và tổ chức xơ,"Thấm nhập bạch cầu đa nhân trung tính, phù nề, xung huyết",U hạt,Dị sản ruột,b
Liệu pháp miễn dịch trong điều trị ung thư hoạt động bằng cách nào?,Kích hoạt hệ thống miễn dịch để tiêu diệt tế bào ung thư,Tiêu diệt trực tiếp tế bào ung thư bằng thuốc,Ức chế sự tăng sinh của tế bào ung thư,Cản trở sự phát triển của khối u thông qua thiếu máu nuôi dưỡng,a
Bệnh tuyến cơ tử cung phổ biến ở độ tuổi nào?,20-30 tuổi,15-25 tuổi,35-50 tuổi,Trên 60 tuổi,c
Dấu ấn nào liên quan đến ung thư vú có HER2 dương tính?,Ki-67,p53,HER2/neu,CA 19-9,c
Tỷ lệ sống 5 năm của bệnh nhân ung thư buồng trứng giai đoạn IV?,10%,30%,50%,70%,b
Trong các phân nhóm u lymphô Hodgkin và loại nào phổ biến nhất?,Loại xơ cục,Loại tế bào hỗn hợp,Loại giàu lympho,Loại nghèo lympho,a
A smoker develops squamous metaplasia in the respiratory epithelium. This adaptation is an example of:,Atrophy,Hyperplasia,Metaplasia,Dysplasia,c
Hậu quả dài hạn của viêm dạ dày tự miễn là:,U tuyến tuyến Barrett,Thiếu máu ác tính do giảm hấp thu vitamin B12,Tăng tiết acid,Tăng hấp thu sắt,b
Viêm tuyến giáp Hashimoto thuộc loại:,Viêm do vi khuẩn,Viêm không đặc hiệu,Viêm tự miễn,Viêm cấp mủ,c
"Trong bệnh lý huyết khối, thuốc nào thường được sử dụng để dự phòng và điều trị?",Aspirin,Heparin,Warfarin,Tất cả các đáp án trên,d
Kỹ thuật nào được sử dụng phổ biến nhất để chẩn đoán ung thư?,Hóa mô miễn dịch,PCR,Sinh thiết mô,FISH,c
Crohn có thể gây tổn thương ở:,Đại tràng,Ruột non,Bất kỳ phần nào ống tiêu hóa,Thực quản,c
Bệnh phổi mô kẽ quá mẫn thường do:,Viêm virus,Phản ứng miễn dịch do hít phải kháng nguyên hữu cơ,Vi khuẩn Gram âm,Ung thư phế quản,b
Viêm gan cấp mô học đặc trưng bởi:,Tăng sinh mô sợi,"Thâm nhiễm tế bào viêm quanh tĩnh mạch cửa, tổn thương tế bào gan rải rác",Dị sản biểu mô,Tăng sinh ống mật,b
Sinh thiết lỏng giúp phát hiện ung thư bằng cách:,Đo lượng kháng thể trong máu,Phát hiện DNA của tế bào ung thư lưu hành trong máu,Chụp ảnh mô bệnh,Phân tích protein huyết thanh,b
Ung thư cổ tử cung phổ biến nhất là:,Adenocarcinoma,Carcinoma tế bào gai,Carcinoid,Lymphoma,b
Một bệnh nhân nữ 45 tuổi có ung thư vú ER dương tính PR dương tính HER2 âm tính. Liệu pháp nào phù hợp nhất?,Trastuzumab,Tamoxifen,Bevacizumab,Cisplatin,b
Tại sao liệu pháp miễn dịch chưa phổ biến trong ung thư buồng trứng?,Ung thư buồng trứng không biểu hiện PD-L1,Cơ chế kháng nguyên thấp,Thiếu thuốc điều trị,Không có nghiên cứu nào về liệu pháp miễn dịch,b
Đột biến gen nào liên quan đến bệnh bạch cầu dòng tủy mạn (CML)?,BCR-ABL,TP53,RAS,MYC,a
Chuyển sản biểu mô trụ thành biểu mô vảy thường gặp trong tình trạng nào?,Hút thuốc lá mạn tính,Tiểu đường,Viêm gan siêu vi,Bệnh gút,a
Vị trí ung thư dạ dày thường gặp:,Bờ cong lớn vùng tâm vị,Bờ cong nhỏ vùng thân vị hoặc hang vị,Dưới môn vị,Thực quản,b
U tuyến giáp lành có thể phát sinh từ:,Tế bào C,Tế bào Hurthle,Tế bào nang,Tế bào lympho,c
Tắc nghẽn bạch huyết có thể dẫn đến phù nề do:,Tăng áp lực thủy tĩnh,Giảm áp lực thẩm thấu huyết tương,Rối loạn chức năng nội mô,Giảm dẫn lưu dịch gian bào,d
Bệnh học mô học có vai trò quan trọng nhất trong chẩn đoán:,Bệnh viêm,Bệnh ung thư,Bệnh di truyền,Bệnh nhiễm trùng,b
Đặc điểm mô học giúp phân biệt polyp lành – ác:,Màu sắc đại thể,"Loạn sản biểu mô, rối loạn phân bào",Số lượng tế bào cơ,Mức độ hoại tử,b
Viêm màng phổi do vi khuẩn có đặc điểm:,Dịch tiết trong suốt,Dịch tiết giàu protein và tế bào viêm,Dịch thanh dịch,Dịch mỡ,b
Ung thư tế bào gan nguyên phát là:,Cholangiocarcinoma,Hepatocellular carcinoma (HCC),Sarcoma,Metastasis từ ruột,b
Liệu pháp kháng sinh có thể được sử dụng để điều trị ung thư nào?,Ung thư phổi,Ung thư dạ dày do Helicobacter pylori,Ung thư đại trực tràng,Ung thư tuyến giáp,b
Phát hiện CIN chủ yếu qua:,MRI,Pap smear,CT scanner,Siêu âm bung,b
Dấu ấn sinh học nào giúp đánh giá nguy cơ tái phát ung thư vú?,CA 15-3,AFP,PSA,CEA,a
Tỷ lệ sống 5 năm của ung thư buồng trứng giai đoạn sớm là?,30%,50%,70%,>90%,d
Biểu hiện lâm sàng phổ biến của u lymphô Hodgkin là gì?,Sưng hạch không đau,Sốt kéo dài nhưng không sưng hạch,Tăng bạch cầu trung tính,Xuất huyết tự phát,a
What is the primary cause of telomere shortening?,Increased ATP production,Repeated cell division,Activation of lysosomes,Overexpression of growth factors,b
Loại tế bào bị phá huỷ trong viêm dạ dày type A:,Tế bào chính,Tế bào G,Tế bào thành,Tế bào ưa bạc,c
Phát biểu nào đúng về u tuyến nang giáp:,Luôn là ác tính,Thường xâm lấn mạch máu,Không xâm lấn vỏ bao,Gây di căn xa,c
Thành phần chính của huyết khối là?,Tiểu cầu và fibrin,Albumin,Hemoglobin,Chất béo,a
Công trình nghiên cứu nào của Louis Pasteur đã góp phần vào sự phát triển của bệnh học?,Thuyết vi sinh vật,Phát minh kính hiển vi,Giải mã cấu trúc DNA,Tạo ra phương pháp nhuộm tế bào,a
Đặc điểm mô học của carcinôm tuyến:,Không tạo tuyến,"Tạo tuyến bất thường, xâm nhập mô đệm",Tế bào cơ trơn tăng sinh,Mạch máu giãn rộng,b
Mô học của bệnh phổi mô kẽ quá mẫn cấp tính cho thấy:,"U hạt không hoại tử, thâm nhiễm lympho quanh tiểu phế quản",Hoại tử bã đậu,Tăng sinh tuyến nhầy,Tế bào ái toan,a
Tổn thương mô học ở viêm gan virus cấp nặng:,Hoại tử cầu gan (bridging necrosis),Viêm mạch hoại tử,Nang lao,Tế bào hình nhẫn,a
"Thuật ngữ ""tân sinh"" (neoplasia) dùng để chỉ:",Sự chết tế bào theo chương trình,Sự tăng sinh bất thường của mô,Hiện tượng viêm cấp tính,Sự sửa chữa mô tổn thương,b
CIN III không điều trị sẽ tiến thành:,Polyp cổ tử cung,Ung thư cổ tử cung xâm nhập,U xơ tử cung,Carcinoid,b
Điều trị nào là nền tảng chính cho ung thư vú giai đoạn sớm?,Hóa trị,Xạ trị,Phẫu thuật,Liệu pháp miễn dịch,c
Hệ thống phân giai đoạn nào thường dùng cho ung thư buồng trứng?,TNM,FIGO,Ann Arbor,Dukes,b
Nguyên nhân thường gặp nhất của viêm hạch lymphô cấp không đặc hiệu là?,Vi khuẩn liên cầu và tụ cầu,Nhiễm nấm,Nhiễm ký sinh trùng,Nhiễm lao,a
Tổn thương do tái tưới máu gây ra bởi?,Thiếu oxy kéo dài,Sản xuất quá mức gốc tự do ROS,Giảm phân hủy protein,Hoạt hóa quá mức ty thể,b
Loại polyp dạ dày phổ biến nhất:,Polyp tăng sản,Polyp tuyến,Polyp viêm,Polyp cơ,a
Tiên lượng xấu nhất trong các loại ung thư tuyến giáp:,Nhú,Nang,Tủy,Không biệt hóa,d
Nhồi máu đỏ thường xảy ra khi nào?,Ở mô có tuần hoàn kép,Ở mô thiếu oxy hoàn toàn,Khi huyết áp giảm,Trong tình trạng tăng đông máu,a
"Giả thuyết ""tất cả tế bào đều phát sinh từ tế bào trước đó"" được đề xuất bởi:",Rudolf Virchow,Gregor Mendel,Charles Darwin,Joseph Lister,a
Biểu hiện mô học trong viêm ruột hoại tử:,Loạn sản,"Hoại tử toàn bộ thành ruột, viêm cấp, xuất huyết",Tăng sinh tuyến,Dị sản ruột,b
Polyp thanh quản thường do:,Viêm mạn do nói nhiều hoặc hút thuốc,Ung thư,Nhiễm nấm,Dị ứng,a
Tế bào viêm chủ yếu trong viêm gan do virus là:,Bạch cầu trung tính,Bạch cầu ái toan,Lympho bào,Tương bào,c
Sarcoma là thuật ngữ dùng để chỉ:,U có nguồn gốc từ tế bào biểu mô,U có nguồn gốc từ mô liên kết,U không biệt hóa,U lành tính của tuyến,b
Yếu tố nguy cơ hàng đầu gây tăng sản nội mạc tử cung là?,Viêm gan B,Béo phì,Thiếu máu,Suy tuyến thượng thận,b
Chụp nhũ ảnh có giá trị nhất ở nhóm phụ nữ nào?,Dưới 30 tuổi,30-40 tuổi,Sau mãn kinh,Nam giới,c
"Một phụ nữ 45 tuổi đến khám vì đau bụng kéo dài, khám phát hiện khối u buồng trứng lớn. Xét nghiệm nào cần thực hiện đầu tiên?",CA125,Xét nghiệm glucose,Test nhanh HPV,Chụp X-quang ngực,a
Nguyên nhân phổ biến nhất gây HLH thứ phát là?,Nhiễm virus Epstein-Barr (EBV),Nhiễm khuẩn tụ cầu,Thiếu hụt vitamin B12,Mất nước nặng,a
Reactive oxygen species (ROS) primarily cause cellular damage by:,Increasing DNA replication,"Oxidizing lipids, proteins, and DNA",Enhancing protein synthesis,Decreasing calcium levels,b
Polyp viêm thường liên quan đến:,Viêm gan,Viêm niêm mạc dạ dày kéo dài,Xơ gan,Lao phổi,b
Nguy cơ lớn nhất trong phình giáp đơn thuần kéo dài:,Viêm tuyến giáp,Áp xe hóa,Ung thư hóa,Tăng huyết áp,c
Giữ natri và nước trong cơ thể góp phần gây phù nề bằng cách nào?,Giảm thể tích máu,Giảm áp lực thủy tĩnh,Tăng áp lực thẩm thấu huyết tương,Tăng áp lực thủy tĩnh và giảm áp lực thẩm thấu huyết tương,d
Bệnh học hệ thống tập trung vào:,Cấu trúc mô bệnh,Mối liên hệ giữa bệnh và cơ quan,Miễn dịch học,Vi khuẩn học,b
Polyp tuyến là:,Tăng sản cơ,Tổn thương tiền ung thư,Polyp viêm,Polyp cơ trơn,b
"Trong bệnh phổi kẽ, vùng tổn thương chủ yếu là:",Phế quản chính,Khoang kẽ giữa các phế nang,Lòng phế nang,Động mạch phổi,b
Biến chứng lâu dài của viêm gan mạn:,Xơ gan,Viêm ruột thừa,Sỏi mật,Gan nhiễm mỡ,a
Phương pháp nào sau đây giúp xác định kiểu gen của tế bào ung thư?,Giải trình tự thế hệ mới (NGS),Chụp cộng hưởng từ (MRI),Sinh thiết lỏng,A và C đều đúng,d
Dạng đại thể của condyloma:,Loét nông,Dạng sui hoặc phẳng,U đặc,Khối xơ hoá,b
Ung thư vú ba âm tính có tiên lượng như thế nào so với các loại khác?,Tốt hơn,Trung bình,Xấu hơn,Không ảnh hưởng,c
U nào có thể chứa mô thần kinh - lông - răng?,U quái trưởng thành,U loạn sản,U nội mạc tử cung,U tế bào sáng,a
U lymphô không Hodgkin nào có liên quan chặt chẽ với vi khuẩn Helicobacter pylori?,U lymphô MALT dạ dày,U lymphô Burkitt,U lymphô tế bào T ngoại vi,U lymphô tế bào B lớn lan tỏa,a
Cellular autophagy is primarily triggered by:,DNA mutations,Nutrient depletion,Uncontrolled cell division,Excessive ATP levels,b
Polyp tuyến thường được chia thành:,2 loại,3 loại,4 loại,Không phân loại,b
Viêm giáp Hashimoto dễ nhầm với:,U tuyến giáp,Ung thư nhú,Nang keo,Dị sản,b
"Trong sung huyết động, mô thường có màu gì?",Đỏ tươi,Xanh tím,Nhợt nhạt,Đen sẫm,a
Bệnh lý nào dưới đây có thể được phát hiện nhờ xét nghiệm hóa mô miễn dịch?,Ung thư vú,Đái tháo đường,Bệnh Parkinson,Viêm gan,a
Crohn có đặc điểm tổn thương:,Liên tục,Lan tỏa,Từng vùng xen kẽ (skip lesions),Khu trú trực tràng,c
"Trong COPD, hiện tượng thường gặp là:",Viêm mô kẽ,Tắc nghẽn luồng khí hô hấp không hồi phục,Tăng áp lực tĩnh mạch,Tràn dịch màng phổi,b
Biến chứng nghiêm trọng của xơ gan:,Viêm đại tràng,Tắc mật,"Tăng áp lực tĩnh mạch cửa, cổ trướng, ung thư gan",Sỏi mật,c
Ung thư vú có thể biểu hiện quá mức gen nào sau đây?,RB,HER2/neu,BRCA1,APC,b
Một biểu hiện tiêm ẩn của polyp nội mạc là?,Thoái hóa bọc,Dị cắn gan,Ác tính hóa,Gây xương,c
Ung thư vú ba âm tính có đặc điểm gì?,"ER (+), PR (+), HER2 (+)","ER (-), PR (-), HER2 (-)","ER (+), PR (-), HER2 (-)","ER (-), PR (+), HER2 (+)",b
Yếu tố nào giúp cải thiện tiên lượng ung thư buồng trứng?,Điều trị sớm khi chưa có triệu chứng,Chỉ định hóa trị ngay cả khi u lành tính,Không thực hiện phẫu thuật,Không cần theo dõi sau điều trị,a
Đặc điểm tế bào đặc trưng của u lymphô Hodgkin là gì?,Tế bào Reed-Sternberg,Tế bào Burkitt,Tế bào plasma,Tế bào mast,a
Dấu hiệu sớm nhất của tổn thương tế bào có thể hồi phục là?,Mất nhân tế bào,Tích tụ lipid,Phù tế bào do rối loạn bơm Na+/K+,Hoại tử đông,c
Viêm dạ dày mạn có nguy cơ dẫn đến:,Viêm túi mật,Tăng huyết áp,"Dị sản ruột, loạn sản, ung thư dạ dày",Polyp đại tràng,c
Thiếu iod là nguyên nhân chủ yếu gây:,Cường giáp,Ung thư giáp,Viêm tuyến giáp,Bướu giáp địa phương,d
Tình trạng nào sau đây có thể gây ra thuyên tắc khí?,Gãy xương dài,Chấn thương phổi,Phẫu thuật tim hở,Tất cả các đáp án trên,d
Đặc điểm nào không thuộc về bệnh học pháp y?,Khám nghiệm tử thi,Xác định nguyên nhân tử vong,Chẩn đoán ung thư,Hỗ trợ điều tra hình sự,c
Hội chứng polyp gia đình (FAP) liên quan đến đột biến:,p53,APC,KRAS,DCC,b
Carcinôm tuyến phổi thường gặp ở:,Phế quản chính,Ngoại vi phổi,Trung tâm tiểu thùy,Dưới màng phổi,b
Thể Councilman là:,Hạt mỡ,Tế bào gan hoại tử ái toan,Tế bào viêm dạng u,Tế bào Kupffer phì đại,b
