câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Bệnh tự miễn nào sau đây có thể được chẩn đoán bằng bệnh học miễn dịch?,Lupus ban đỏ hệ thống,Bệnh tiểu đường type 2,Bệnh Alzheimer,Bệnh lao,a
Kỹ thuật nào sau đây không thuộc bệnh học phân tử?,PCR,Giải trình tự gen,Nhuộm H&E,Lai tại chỗ huỳnh quang (FISH),c
Bệnh học phân tử giúp chẩn đoán:,Ung thư,Bệnh di truyền,Bệnh nhiễm trùng,"Cả A, B và C",d
Kỹ thuật nào được sử dụng phổ biến nhất để chẩn đoán ung thư?,Hóa mô miễn dịch,PCR,Sinh thiết mô,FISH,c
Kỹ thuật nào giúp đưa ra phác đồ điều trị cá nhân hóa?,Hóa mô miễn dịch,Bệnh học phân tử,Chụp X-quang,Xét nghiệm máu tổng quát,b
Bệnh học nào giúp xác định nguyên nhân tử vong?,Bệnh học mô học,Bệnh học phân tử,Bệnh học pháp y,Bệnh học tế bào học,c
Người đầu tiên đề xuất lý thuyết vi sinh vật gây bệnh là:,Louis Pasteur,Robert Koch,Antonie van Leeuwenhoek,Joseph Lister,a
Ai phát minh ra kính hiển vi?,Antonie van Leeuwenhoek,Robert Hooke,Galileo Galilei,Andreas Vesalius,a
Ai được xem là cha đẻ của miễn dịch học?,Louis Pasteur,Paul Ehrlich,Robert Koch,Edward Jenner,b
Kỹ thuật nào sau đây giúp phát hiện các protein đặc hiệu trong mô bệnh?,PCR,Hóa mô miễn dịch,Chụp cộng hưởng từ,Điện di protein,b
Chẩn đoán phân tử có thể xác định:,Đột biến gen,Sự biểu hiện protein,Mức độ methyl hóa DNA,"Cả A, B và C",d
Kỹ thuật FNAC (chọc hút tế bào bằng kim nhỏ) thường được sử dụng để chẩn đoán:,Ung thư tuyến giáp,Ung thư máu,Bệnh Alzheimer,Bệnh nhiễm trùng,a
Bệnh học nào quan trọng nhất trong chẩn đoán ung thư?,Bệnh học mô học,Bệnh học tế bào học,Bệnh học phân tử,"Cả A, B và C",d
Kỹ thuật nào giúp phân tích mức độ enzyme trong cơ thể?,Bệnh học hóa học,Bệnh học mô học,Bệnh học tế bào học,Bệnh học huyết học,a
Kỹ thuật nào giúp phát hiện các bất thường trong nhiễm sắc thể?,PCR,FISH,Sinh thiết,Xét nghiệm máu,b
Lý thuyết "tế bào là đơn vị cơ bản của sự sống" do ai đề xuất?,Rudolf Virchow,Matthias Schleiden và Theodor Schwann,Louis Pasteur,Robert Koch,b
Bệnh lý nào dưới đây có thể được phát hiện nhờ xét nghiệm hóa mô miễn dịch?,Ung thư vú,Đái tháo đường,Bệnh Parkinson,Viêm gan,a
Hình thái tế bào trong bệnh học tế bào học được đánh giá bằng:,Kính hiển vi điện tử,Kính hiển vi quang học,Cả A và B,Chụp X-quang,c
Bệnh học huyết học giúp chẩn đoán bệnh nào sau đây?,Thiếu máu,Đột quỵ,Viêm phổi,Loãng xương,a
Kỹ thuật nào giúp xác định đột biến gen trong ung thư?,PCR,Giải trình tự DNA,Lai tại chỗ huỳnh quang (FISH),"Cả A, B và C",d
Người đầu tiên mô tả quá trình viêm là:,Hippocrates,Rudolf Virchow,Celsus,Galen,c
Đặc điểm nào không thuộc về bệnh học pháp y?,Khám nghiệm tử thi,Xác định nguyên nhân tử vong,Chẩn đoán ung thư,Hỗ trợ điều tra hình sự,c
Kỹ thuật nào sau đây là công cụ chính trong bệnh học phân tử?,Sinh thiết,PCR,Nhuộm H&E,Xét nghiệm máu,b
Ai đã phát triển vắc-xin phòng bệnh dại?,Edward Jenner,Robert Koch,Louis Pasteur,Alexander Fleming,c
Phân ngành nào của bệnh học giúp phân tích sự thay đổi trong mô bệnh?,Bệnh học mô học,Bệnh học hóa học,Bệnh học pháp y,Bệnh học miễn dịch,a
Kỹ thuật nào giúp phát hiện vi khuẩn trong mẫu bệnh phẩm?,PCR,Cấy vi khuẩn,Nhuộm Gram,"Cả A, B và C",d
"Trong bệnh học miễn dịch,xét nghiệm nào thường được sử dụng để phát hiện các bệnh tự miễn?",ELISA,PCR,Chụp cắt lớp CT,Xét nghiệm công thức máu,a
Yếu tố nào dưới đây không liên quan đến bệnh học tế bào học?,FNAC,Xét nghiệm Pap,Giải trình tự gen,Nhuộm Papanicolaou,c
Bệnh lý nào dưới đây có thể được chẩn đoán bằng xét nghiệm FISH?,Hội chứng Down,Ung thư vú HER2+,Ung thư máu,"Cả A, B và C",d
Mục đích chính của bệnh học là:,Chẩn đoán bệnh,Nghiên cứu nguyên nhân bệnh,Định hướng điều trị,"Cả A, B và C",d
