"câu hỏi","đáp án a","đáp án b","đáp án c","đáp án d","đáp án đúng"
"Nhóm sợi nào của cơ thái dương đóng vai trò chủ đạo trong việc đưa hàm dưới lui sau khi co một bên?","Nhóm sợi trước (thẳng đứng)","Nhóm sợi giữa (chếch)","Nhóm sợi sau (gần như nằm ngang)","Lớp cơ nông bám vào mạc thái dương","c"
"Cơ nào được xem là nhạy cảm nhất đối với các cản trở cắn khớp trên lâm sàng?","Cơ cắn","Cơ thái dương","Cơ chân bướm trong","Cơ nhị thân","b"
"Chức năng chính của cơ chân bướm trong là gì?","Hạ hàm và đưa hàm ra trước","Nâng và định vị hàm dưới trong vị trí sang bên","Đưa hàm dưới lui sau tối đa","Cố định đĩa khớp khi há miệng","b"
"Khi cả hai cơ chân bướm ngoài cùng co đồng thời, hàm dưới sẽ thực hiện vận động nào?","Đưa hàm lui sau","Nâng hàm và đóng miệng","Đưa hàm ra trước","Hạ hàm tại chỗ không trượt lồi cầu","c"
"Bó trên của cơ chân bướm ngoài có đặc điểm bám tận đặc biệt nào liên quan đến khớp thái dương hàm?","Bám hoàn toàn vào hố cơ chân bướm ở cổ lồi cầu","Bám vào phần trước của bao khớp và đĩa khớp","Bám vào lá sau đĩa trên","Bám vào khe nhĩ trai","b"
"Trong vận động sang bên, lồi cầu bên không làm việc di chuyển theo hướng nào nhờ sự hỗ trợ của cơ chân bướm ngoài đối bên?","Lên trên, ra sau và ra ngoài","Xuống dưới, ra trước và vào trong","Xoay tại chỗ quanh trục đứng","Đứng yên để làm tâm xoay","b"
"Nếu bó trên cơ chân bướm ngoài co bất thường (co thắt) trong quá trình đóng hàm, điều gì sẽ xảy ra với đĩa khớp?","Đĩa khớp bị kéo ra sau quá mức bởi các sợi đàn hồi","Đĩa khớp bị giữ hoặc kéo ra phía trước so với đầu lồi cầu","Đĩa khớp tự động xoay vào hõm khớp","Đĩa khớp bị ép dẹt vùng trung gian","b"
"Cơ nào tạo nên vách ngang ở nền miệng và bám từ đường chéo trong xương hàm dưới đến xương móng?","Cơ cằm móng","Cơ hàm móng","Cơ nhị thân bụng trước","Cơ móng lưỡi","b"
"Tác động hiệp đồng của các cơ nào giúp thực hiện vận động hạ hàm (há miệng)?","Cơ cắn và cơ thái dương","Cơ chân bướm ngoài và các cơ trên móng","Cơ chân bướm trong và cơ cắn","Cơ nâng môi trên và cơ mút","b"
"Vận động ra trước của hàm dưới chủ yếu do cơ nào chi phối trực tiếp?","Cơ thái dương nhóm sợi sau","Cơ chân bướm ngoài (cả hai bên)","Cơ chân bướm trong lớp nông","Cơ nhị thân bụng sau","b"
"Gân trung gian của cơ nhị thân được đính vào xương móng bởi cấu trúc nào?","Cơ hàm móng","Các sợi của cơ hoặc chui qua gân cơ trâm móng","Dây chằng trâm hàm","Mạc thái dương sâu","b"
"Cơ thái dương bám tận vào vị trí nào của xương hàm dưới?","Mặt ngoài góc hàm","Mỏm quạ và bờ trước cành lên","Hố cơ chân bướm","Gai cằm (mỏm cằm)","b"
"Đặc điểm bám tận của cơ chân bướm trong là gì?","Mặt ngoài cành lên xương hàm dưới","Mặt trong góc hàm dưới","Hố cơ chân bướm ở cổ lồi cầu","Đường chéo ngoài xương hàm dưới","b"
"Kích thước trung bình theo chiều ngang (ngoài - trong) của lồi cầu xương hàm dưới là bao nhiêu?","8 - 10 mm","15 - 20 mm","5 - 7 mm","25 - 30 mm","b"
"Khác với các khớp động khác trong cơ thể, diện khớp của khớp thái dương hàm được bao phủ bởi loại mô nào?","Sụn trong (hyaline cartilage)","Mô sợi không mạch máu (fibrocartilage)","Mô sụn đàn hồi giàu mạch máu","Xương đặc không có bao phủ","b"
"Phần nào của đĩa khớp là vùng mỏng nhất và thường nằm giữa các diện chịu lực của lồi cầu và lồi khớp?","Dải trước","Dải sau","Vùng trung gian","Vạt trong","c"
"Đặc điểm chức năng của lồi khớp xương thái dương là gì?","Sườn trước là diện làm việc chính","Trần hõm khớp là nơi chịu lực nhai lớn nhất","Sườn sau là diện hoạt động (diện làm việc)","Là phần mỏng nhất của khớp (2mm)","c"
"Cơ chế bôi trơn nào của khớp thái dương hàm xảy ra khi khớp ở trạng thái vận động chịu tải (loading)?","Bôi trơn màng (boundary lubrication) bởi glycoprotein","Bôi trơn rỉ (weeping lubrication) do dịch hoạt dịch bị vắt ra","Bôi trơn bằng huyết thanh khuếch tán thụ động","Bôi trơn nhờ sự co bóp của mô sau đĩa","b"
"Thành phần nào của khớp thái dương hàm giàu mạch máu, thần kinh và sợi đàn hồi, có vai trò lấp đầy khoảng trống khi lồi cầu di chuyển?","Đĩa khớp vùng trung gian","Lá sau đĩa dưới","Mô sau đĩa (vùng lá kép)","Dây chằng thái dương hàm","c"
"Chức năng của lá sau đĩa trên là gì?","Kéo lồi cầu ra trước trong thì há","Kháng lại lực kéo đĩa khớp ra trước của cơ chân bướm ngoài bó trên","Bôi trơn buồng khớp dưới bằng glycoprotein","Giữ ổn định đĩa khớp trên đầu lồi cầu","b"
"Dịch khớp thái dương hàm có nguồn gốc từ đâu?","Tuyến mang tai khuếch tán qua bao khớp","Huyết thanh từ các mao mạch của mô hoạt dịch","Sự phân hủy của các tế bào sụn trong","Dịch não tủy theo khe nhĩ trai chảy vào","b"
"Khi há miệng tối đa, đĩa khớp di chuyển như thế nào so với quãng đường di chuyển của lồi cầu?","Di chuyển cùng một quãng đường (13-15 mm)","Di chuyển ít hơn lồi cầu (khoảng 5-9 mm)","Đứng yên tại chỗ trong hõm khớp","Di chuyển ra sau trong khi lồi cầu ra trước","b"
"Trong vận động đóng hàm, bó trên cơ chân bướm ngoài co (+) có tác dụng gì?","Thả lỏng để đĩa khớp tự xoay ra sau","Kiểm soát vị trí đĩa khớp, xoay đĩa ra trước so với lồi cầu để giữ sự khít sát","Kéo lồi cầu về vị trí tương quan trung tâm","Ép đĩa khớp vào trần hõm khớp","b"
"Đặc điểm bôi trơn màng (boundary lubrication) trong khớp thái dương hàm thường xảy ra ở điều kiện nào?","Vận động dưới áp lực thủy tĩnh cao","Vận động không chịu tải hoặc chịu tải rất ít","Khi có chấn thương gây tràn dịch khớp","Chỉ xảy ra ở vị trí lồng múi tối đa","b"
"Cấu trúc nào ngăn không cho đĩa khớp xoay ra phía trước quá mức khi lồi cầu trở về vị trí tương quan trung tâm?","Lá sau đĩa dưới","Lá sau đĩa trên và các sợi mô sau đĩa","Dây chằng sau đĩa (khi đã căng)","Bao khớp phía trước","c"
"Độ dày của phần mỏng nhất ở trần hõm khớp liên hệ với nền sọ giữa là bao nhiêu?","0.5 mm","2 mm","5 mm","10 mm","b"
"Khe nhĩ trai là cấu trúc phân cách hõm khớp với thành phần nào sau đây?","Lồi khớp","Xương đá","Mỏm gò má","Ống tai ngoài","b"
"Khớp thái dương hàm được phân loại là loại khớp nào?","Khớp bất động","Khớp bản lề đơn thuần","Khớp bản lề trượt","Khớp cầu","c"
"Trong quan niệm khớp cắn lý tưởng, vị trí lồng múi tối đa (ICP) phải trùng với vị trí nào?","Vị trí nghỉ cơ năng","Khớp cắn trung tâm (CO - tương quan trung tâm)","Vị trí há miệng 20mm","Vị trí đưa hàm ra trước hết mức","b"
"Định nghĩa 'khớp cắn bảo vệ lẫn nhau' (mutually protected occlusion) trong trạng thái lý tưởng là gì?","Răng sau bảo vệ răng trước ở CO; răng trước bảo vệ răng sau ở vận động lệch tâm","Lợi bảo vệ răng và ngược lại","Xương hàm bảo vệ khớp thái dương hàm","Cơ cắn bảo vệ khớp thái dương hàm bằng cách nâng hàm","a"
"Ở khớp cắn lý tưởng, trong vận động tiếp xúc ra trước, thành phần nào đóng vai trò hướng dẫn nhả khớp răng sau?","Các răng cối lớn hàm dưới","Các răng cửa (hướng dẫn răng cửa)","Răng nanh hai bên","Lồi cầu trượt trên sườn trước lồi khớp","b"
"Yếu tố nào KHÔNG thuộc 'Bộ năm Hanau' (Hanau's Quint) trong thiết lập khớp cắn thăng bằng?","Độ dốc lồi cầu","Đường cong Spee","Độ rộng cung hàm","Chiều cao múi răng","c"
"Khớp cắn sinh lý chức năng được xác định dựa trên tiêu chí nào là quan trọng nhất?","Sự sắp xếp răng phải thẳng hàng tuyệt đối","Hệ thống nhai hài hòa, hoạt động thoải mái, không đau và không có dấu hiệu phá hủy","Phải có hướng dẫn răng nanh ở cả hai bên","Răng không được có bất kỳ vết mòn nào","b"
"Khi một bệnh nhân có lệch lạc hình thái răng nhưng hệ thống nhai vẫn thích ứng tốt, không đau, không loạn năng thì gọi là gì?","Khớp cắn lý tưởng","Khớp cắn sinh lý","Khớp cắn không sinh lý","Khớp cắn thăng bằng","b"
"Quan niệm 'Khớp cắn thăng bằng' (Balanced Occlusion) hiện nay chủ yếu được ứng dụng cho đối tượng nào?","Bệnh nhân chỉnh nha răng tự nhiên","Phục hình hàm giả toàn bộ","Người trẻ có bộ răng đầy đủ","Điều trị loạn năng thái dương hàm","b"
"Tam giác đều Bonwill dùng để phân tích hàm dưới có cạnh dài bao nhiêu?","5 cm","10 cm","15 cm","20 cm","b"
"Đường cong Spee được định nghĩa là gì?","Đường cong nối các đỉnh múi ngoài và trong của các răng sau","Mặt cong đi qua các răng sau theo chiều trước sau","Đường thẳng nối hai lồi cầu","Khoảng cách giữa răng cửa trên và dưới","b"
"Dấu hiệu nào sau đây gợi ý một khớp cắn KHÔNG sinh lý?","Răng có vết mòn chức năng nhẹ","Răng lung lay, di lệch, hoặc mòn mặt nhai bất thường vượt quá khả năng thích ứng","Hàm dưới vận động trơn tru không tiếng kêu","Bệnh nhân hài lòng với thẩm mỹ bộ răng","b"
"Theo nghiên cứu của Hoàng Tử Hùng và cs (2002), độ há miệng tối đa trung bình của người trẻ Việt Nam là bao nhiêu?","35.5 ± 2.1 mm","49.43 ± 5.39 mm","55.2 ± 4.8 mm","40.0 ± 3.0 mm","b"
"Trong khám lâm sàng, test 'hard end feel' (cảm giác kết thúc cứng) khi cố gắng mở rộng độ há miệng gợi ý nguyên nhân gì?","Do cơ bị co thắt hoặc đau","Do các mô mềm quanh khớp bị căng","Do nguyên nhân tại khớp (sai vị trí đĩa khớp, bất thường xương)","Do răng bị đau khi tiếp xúc","c"
"Biên độ vận động đưa hàm dưới sang bên trung bình được đo từ vị trí lồng múi tối đa là bao nhiêu?","2 - 4 mm","8 - 12 mm","15 - 20 mm","1 - 2 mm","b"
"Vận động biên của hàm dưới được mô tả trực quan thông qua sơ đồ nào?","Sơ đồ Gysi","Sơ đồ Posselt","Biểu đồ Thielemann","Đường cong Wilson","b"
"Vận động Bennett là thuật ngữ mô tả hiện tượng nào?","Sự di chuyển ra trước của cả hai lồi cầu","Sự trượt nhẹ sang bên của lồi cầu bên làm việc trong vận động sang bên","Sự há miệng tối đa của hàm dưới","Sự xoay tại chỗ của lồi cầu trong hõm khớp","b"
"Vị trí nào sau đây được coi là vị trí tham chiếu theo chiều ngang trên đường vận động bản lề?","Vị trí lồng múi tối đa","Vị trí nghỉ cơ năng","Các vị trí trên đường vận động bản lề (tương quan trung tâm)","Vị trí há miệng tối đa","c"
"Mức độ há miệng tối đa của một bệnh nhân được coi là hạn chế (cần can thiệp) khi biên độ nhỏ hơn bao nhiêu?","50 mm","40 mm","30 mm","45 mm","b"
"Trong sơ đồ Posselt, hình bao vận động trên mặt phẳng đứng dọc thể hiện giới hạn vận động của điểm nào?","Đỉnh múi răng cối lớn nhất","Điểm giữa bờ cắn các răng cửa dưới","Cực ngoài của lồi cầu","Góc hàm dưới","b"
"Sự khác biệt cơ bản giữa vận động tự do và vận động biên là gì?","Vận động tự do luôn có sự chạm răng","Vận động biên đạt tới các vị trí tối đa, vận động tự do nằm trong hình bao vận động","Vận động tự do chỉ xảy ra khi ngủ","Vận động biên không do cơ điều khiển","b"
"Khi khám vận động đưa hàm ra trước, nếu hàm dưới bị lệch về một bên, điều này thường chỉ ra vấn đề gì?","Cơ thái dương bên đó bị co thắt","Sự dịch chuyển của lồi cầu bên đó bị hạn chế","Răng nanh bên đối diện bị cản trở","Khớp cắn bên đó là khớp cắn lý tưởng","b"

